Group,MediumID,RawLength,R1CandidateCount,R1Status,R2CandidateCount,R2Status,R3CandidateCount,R3Status,SelectedForVisualization
2,A7,1556.48796969499,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A8,829.438387900712,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A9,1944.05599729246,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A10,1874.6776896276,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A11,3053.57357536614,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A12,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A13,2967.30063640691,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A14,4999.99999999999,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A15,3716.89680479571,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A16,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A17,1102.18149257544,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A18,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A19,3746.52557798049,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A20,2021.0259153868,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A21,5000.00000000001,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A22,843.937832660219,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A23,3472.01251981556,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A24,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A25,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A26,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A27,4156.06216733979,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A28,759.724984160844,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A29,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A30,1272.97437943224,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A31,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A32,1064.85148373562,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A33,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A34,4925.51310143542,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A35,1253.4744220195,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A36,3935.14851626438,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A37,1527.98748018443,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A38,3443.51203030501,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A39,3125.32231037239,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A40,927.56174555182,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A41,1338.58205286218,0,NO_ENDPOINT_UNWRAP,0,UNRESOLVED,0,UNRESOLVED,0
2,A42,2322.73618141134,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A43,2227.77100982453,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A44,1946.42642463387,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A45,1919.87724795563,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A46,1934.51292932385,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A47,1053.14227422283,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A48,1034.91808732073,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
2,A49,577.473950139756,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A1,4874.80715336013,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A2,3536.54143714368,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A3,1779.05263698407,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,5,AMBIGUOUS,0
3,A4,1478.06913913149,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A5,4422.79632196514,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A6,3442.09243364942,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A7,2497.59827637837,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A8,2497.12824849134,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A9,2904.01079087906,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A10,4342.18122187873,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A11,913.515101427663,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,3,AMBIGUOUS,0
3,A12,2060.38274038113,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A13,4528.15914247438,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A14,3509.93057904505,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A15,804.902585300458,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A16,2497.84094460506,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A17,981.387976262608,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A18,1471.2231541959,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A19,882.416415678777,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A20,1840.46038496326,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A21,3191.74066050144,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A22,2765.28806184841,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A23,3450.04396005675,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A24,3815.52228969526,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A25,3665.68426682574,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A26,4474.30261795094,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A27,2305.77420421187,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A28,4036.5366439421,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A29,3711.55542740026,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A30,831.635453761807,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A31,3277.86233502475,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A32,3934.46970492368,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A33,3432.25591481607,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A34,3965.72498047042,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A35,3102.40496915297,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A36,4168.65995530506,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A37,1075.09193562398,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,3,AMBIGUOUS,0
3,A38,561.718304811153,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A39,811.0214235043,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,3,AMBIGUOUS,0
3,A40,2217.8121965483,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A41,4193.51846848242,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A42,1222.58033939938,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A43,1570.71075645864,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A44,1001.77543944703,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A45,2719.60390634487,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A46,1133.87485420103,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A47,1521.29921475044,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A48,1869.02361591365,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,3,AMBIGUOUS,0
3,A49,4990.28278053823,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A50,3790.51176351418,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A51,1166.46899467179,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A52,4658.08876117796,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A53,3360.04652037727,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A54,2350.56906661349,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A55,3112.94540205222,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A56,527.676800319801,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,3,AMBIGUOUS,0
3,A57,3858.5340030566,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A58,1835.02890319845,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A59,3851.41266716847,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A60,3412.71788762464,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A61,3968.89366983223,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A62,2685.67602875809,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A63,4993.53751413764,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A64,4041.13735010894,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A65,3350.06006665072,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A66,1051.93355018598,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A67,4794.64235304177,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A68,4092.49030587831,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A69,703.657841629242,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A70,3863.64577130947,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A71,2881.41368809394,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A72,3326.05302515012,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A73,4593.51548495366,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,3,AMBIGUOUS,0
3,A74,690.711020866485,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A75,3725.79108665815,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A76,2952.02824550811,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,3,AMBIGUOUS,0
3,A77,4320.66486523392,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A78,919.407116503299,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A79,3399.85771804035,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A80,771.300909264929,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A81,1870.00052923577,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,5,AMBIGUOUS,0
3,A82,811.96724056501,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A83,2575.77529595882,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A84,4088.70798391017,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A85,1668.3304045978,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,5,AMBIGUOUS,0
3,A86,3595.47694819031,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A87,700.403163458043,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A88,827.249017764548,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,5,AMBIGUOUS,0
3,A89,2066.89184897457,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A90,1594.67885104065,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A91,661.256218116935,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,3,AMBIGUOUS,0
3,A92,3800.25416017011,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A93,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A94,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A95,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A96,1531.44317552721,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A97,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A98,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A99,1302.20977112235,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A100,4999.99999999999,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A101,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A102,1190.15021507902,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A103,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A104,3905.22827248758,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A105,2910.80889568809,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A106,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A107,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A108,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A109,4814.48425745186,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A110,1080.12043594506,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A111,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A112,705.212623967009,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A113,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A114,5000.00000000001,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A115,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A116,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A117,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A118,4833.7867686378,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A119,5000.00000000001,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A120,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A121,3468.55682447278,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A122,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A123,2099.37127947342,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A124,3722.62738277933,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A125,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A126,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A127,2212.29056922531,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A128,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A129,712.473863303729,0,NO_ENDPOINT_UNWRAP,2,AMBIGUOUS,3,AMBIGUOUS,0
3,A130,2188.15485722285,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A131,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A132,4294.78737603298,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A133,3580.19427244057,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A134,2651.71788614618,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A135,1094.77172751241,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A136,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A137,5000,1,DIRECT_5000,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
3,A138,4297.11991408837,0,NO_ENDPOINT_UNWRAP,1,UNIQUE_RECONSTRUCTION,1,UNIQUE_RECONSTRUCTION,0
