Group,MediumID,kx,ky,kz,CandidateLength,LengthError,Valid
1,A2,0,-1,-1,14086.3233105391,9086.3233105391,0
1,A2,0,-1,0,10107.9125248836,5107.91252488362,0
1,A2,0,-1,1,14349.7486672193,9349.74866721927,0
1,A2,0,0,-1,10080.4914669941,5080.49146699414,0
1,A2,0,0,0,2315.53436981696,-2684.46563018304,0
1,A2,0,0,1,10445.4339603228,5445.43396032283,0
1,A2,0,1,-1,14311.1184756205,9311.11847562049,0
1,A2,0,1,0,10418.9012484478,5418.90124844784,0
1,A2,0,1,1,14570.4802400803,9570.48024008028,0
1,A2,1,-1,-1,18559.9839105377,13559.9839105377,0
1,A2,1,-1,0,15754.9482373342,10754.9482373342,0
1,A2,1,-1,1,18760.6978858128,13760.6978858128,0
1,A2,1,0,-1,15737.3697474045,10737.3697474045,0
1,A2,1,0,0,12304.8851180408,7304.88511804085,0
1,A2,1,0,1,15973.5903593978,10973.5903593978,0
1,A2,1,1,-1,18731.1668182638,13731.1668182638,0
1,A2,1,1,0,15956.2527422728,10956.2527422728,0
1,A2,1,1,1,18930.0658418546,13930.0658418546,0
1,A3,-1,-1,-1,16687.5533023831,11687.5533023831,0
1,A3,-1,-1,0,13379.1887064021,8379.18870640214,0
1,A3,-1,-1,1,16719.1789769462,11719.1789769462,0
1,A3,-1,0,-1,13393.3969771581,8393.39697715814,0
1,A3,-1,0,0,8939.3141688493,3939.3141688493,0
1,A3,-1,0,1,13432.7805398224,8432.78053982237,0
1,A3,-1,1,-1,16741.9153610219,11741.9153610219,0
1,A3,-1,1,0,13446.9321846011,8446.9321846011,0
1,A3,-1,1,1,16773.4385383231,11773.4385383231,0
1,A3,0,-1,-1,14131.2151386411,9131.21513864114,0
1,A3,0,-1,0,10010.9688100704,5010.96881007035,0
1,A3,0,-1,1,14168.547975634,9168.547975634,0
1,A3,0,0,-1,10029.9495842418,5029.94958424177,0
1,A3,0,0,0,1062.14117897414,-3937.85882102586,0
1,A3,0,0,1,10082.4798093383,5082.47980933825,0
1,A3,0,1,-1,14195.3702322378,9195.37023223779,0
1,A3,0,1,0,10101.3262125299,5101.32621252991,0
1,A3,0,1,1,14232.534787366,9232.53478736605,0
1,A3,1,-1,-1,17913.9065356846,12913.9065356846,0
1,A3,1,-1,0,14880.7359559561,9880.73595595608,0
1,A3,1,-1,1,17943.3708598057,12943.3708598057,0
1,A3,1,0,-1,14893.5118335843,9893.51183358426,0
1,A3,1,0,0,11060.9651458973,6060.96514589732,0
1,A3,1,0,1,14928.9385148575,9928.93851485752,0
1,A3,1,1,-1,17964.5579434893,12964.5579434893,0
1,A3,1,1,0,14941.6731769446,9941.67317694463,0
1,A3,1,1,1,17993.9393282368,12993.9393282368,0
1,A4,-1,-1,-1,15016.6661409187,10016.6661409187,0
1,A4,-1,-1,0,11127.7482842397,6127.74828423971,0
1,A4,-1,-1,1,14904.8080083907,9904.80800839065,0
1,A4,-1,0,-1,11255.8703549557,6255.87035495567,0
1,A4,-1,0,0,5002.11328711736,2.11328711736223,0
1,A4,-1,0,1,11106.1990449812,6106.19904498125,0
1,A4,-1,1,-1,15095.9919484387,10095.9919484387,0
1,A4,-1,1,0,11234.5668717985,6234.5668717985,0
1,A4,-1,1,1,14984.7259796934,9984.72597969341,0
1,A4,0,-1,-1,15015.9623284909,10015.9623284909,0
1,A4,0,-1,0,11126.7984856491,6126.79848564913,0
1,A4,0,-1,1,14904.098913716,9904.09891371599,0
1,A4,0,0,-1,11254.9313685341,6254.93136853414,0
1,A4,0,0,0,5000.00000000001,5.45696821063757e-12,1
1,A4,0,0,1,11105.2474033488,6105.24740334885,0
1,A4,0,1,-1,15095.291834548,10095.291834548,0
1,A4,0,1,0,11233.6261046804,6233.62610468037,0
1,A4,0,1,1,14984.0206670087,9984.02066700866,0
1,A4,1,-1,-1,20626.6329611379,15626.6329611379,0
1,A4,1,-1,0,17994.0130933343,12994.0130933343,0
1,A4,1,-1,1,20545.3407636056,15545.3407636056,0
1,A4,1,0,-1,18073.5260193814,13073.5260193814,0
1,A4,1,0,0,14999.2954055464,9999.29540554636,0
1,A4,1,0,1,17980.6947182925,12980.6947182925,0
1,A4,1,1,-1,20684.4554734471,15684.4554734471,0
1,A4,1,1,0,18060.266280501,13060.266280501,0
1,A4,1,1,1,20603.3914201567,15603.3914201567,0
1,A5,-1,-1,-1,14853.2525442807,9853.25254428072,0
1,A5,-1,-1,0,10954.4326796679,5954.43267966793,0
1,A5,-1,-1,1,14811.4847170219,9811.48471702185,0
1,A5,-1,0,-1,11213.9790038736,6213.9790038736,0
1,A5,-1,0,0,5013.36307168284,13.3630716828402,0
1,A5,-1,0,1,11158.5972898796,6158.5972898796,0
1,A5,-1,1,-1,15194.9840096808,10194.9840096808,0
1,A5,-1,1,0,11413.5017958403,6413.5017958403,0
1,A5,-1,1,1,15154.1580905323,10154.1580905323,0
1,A5,0,-1,-1,14848.7474844065,9848.7474844065,0
1,A5,0,-1,0,10948.3234353422,5948.32343534222,0
1,A5,0,-1,1,14806.9669491783,9806.96694917831,0
1,A5,0,0,-1,11208.0112335242,6208.01123352421,0
1,A5,0,0,0,5000,3.63797880709171e-12,1
1,A5,0,0,1,11152.5998847442,6152.59988474415,0
1,A5,0,1,-1,15190.5802972086,10190.5802972086,0
1,A5,0,1,0,11407.6384039439,6407.63840394393,0
1,A5,0,1,1,15149.7425108261,10149.7425108261,0
1,A5,1,-1,-1,20502.475279028,15502.475279028,0
1,A5,1,-1,0,17881.0507732725,12881.0507732725,0
1,A5,1,-1,1,20472.2363445117,15472.2363445117,0
1,A5,1,0,-1,18041.22242317,13041.22242317,0
1,A5,1,0,0,14995.5390270402,9995.53902704024,0
1,A5,1,0,1,18006.8507768761,13006.8507768761,0
1,A5,1,1,-1,20751.3835798346,15751.3835798346,0
1,A5,1,1,0,18165.9132626638,13165.9132626638,0
1,A5,1,1,1,20721.5078808425,15721.5078808425,0
1,A6,-1,-1,-1,16523.6519800587,11523.6519800587,0
1,A6,-1,-1,0,13198.3983126419,8198.39831264192,0
1,A6,-1,-1,1,16594.1062211919,11594.1062211919,0
1,A6,-1,0,-1,13133.3564977858,8133.35649778583,0
1,A6,-1,0,0,8582.05663923194,3582.05663923194,0
1,A6,-1,0,1,13221.8886479972,8221.88864799718,0
1,A6,-1,1,-1,16490.5740057091,11490.5740057091,0
1,A6,-1,1,0,13156.9629587843,8156.96295878426,0
1,A6,-1,1,1,16561.1689671917,11561.1689671917,0
1,A6,0,-1,-1,14191.3627031098,9191.36270310975,0
1,A6,0,-1,0,10127.2611614526,5127.2611614526,0
1,A6,0,-1,1,14273.3339445736,9273.33394457364,0
1,A6,0,0,-1,10042.348007864,5042.34800786402,0
1,A6,0,0,0,1419.64670679088,-3580.35329320912,0
1,A6,0,0,1,10157.8560746426,5157.85607464262,0
1,A6,0,1,-1,14152.8347567152,9152.83475671522,0
1,A6,0,1,0,10073.2008275393,5073.20082753928,0
1,A6,0,1,1,14235.0278599302,9235.02785993023,0
1,A6,1,-1,-1,18159.2531780448,13159.2531780448,0
1,A6,1,-1,0,15196.2205579342,10196.2205579342,0
1,A6,1,-1,1,18223.3850452224,13223.3850452224,0
1,A6,1,0,-1,15139.7640049034,10139.7640049034,0
1,A6,1,0,0,11418.3666688901,6418.36666889006,0
1,A6,1,0,1,15216.6271113631,10216.6271113631,0
1,A6,1,1,-1,18129.159723054,13129.159723054,0
1,A6,1,1,0,15160.2465522516,10160.2465522516,0
1,A6,1,1,1,18193.3976702019,13193.3976702019,0
1,A7,-1,-1,-1,15482.9061167632,10482.9061167632,0
1,A7,-1,-1,0,11944.1475065182,6944.14750651823,0
1,A7,-1,-1,1,15671.7879482345,10671.7879482345,0
1,A7,-1,0,-1,11761.943420873,6761.94342087304,0
1,A7,-1,0,0,6425.38643762229,1425.38643762229,0
1,A7,-1,0,1,12009.4907764544,7009.49077645437,0
1,A7,-1,1,-1,15393.7079435441,10393.7079435441,0
1,A7,-1,1,0,11828.2932872032,6828.29328720317,0
1,A7,-1,1,1,15583.6709386799,10583.6709386799,0
1,A7,0,-1,-1,14534.5698475021,9534.56984750207,0
1,A7,0,-1,0,10686.2527805063,5686.25278050629,0
1,A7,0,-1,1,14735.6125195338,9735.61251953377,0
1,A7,0,0,-1,10482.2064407849,5482.20644078485,0
1,A7,0,0,0,3580.35329320912,-1419.64670679088,0
1,A7,0,0,1,10759.2382416766,5759.23824167656,0
1,A7,0,1,-1,14439.5146415157,9439.5146415157,0
1,A7,0,1,0,10556.6027167602,5556.60271676018,0
1,A7,0,1,1,14641.8625439686,9641.86254396859,0
1,A7,1,-1,-1,19564.9446583252,14564.9446583252,0
1,A7,1,-1,0,16903.5303212167,11903.5303212167,0
1,A7,1,-1,1,19714.7562794282,14714.7562794282,0
1,A7,1,0,-1,16775.2791541197,11775.2791541197,0
1,A7,1,0,0,13577.6385478332,8577.63854783321,0
1,A7,1,0,1,16949.765378098,11949.765378098,0
1,A7,1,1,-1,19494.4331006049,14494.4331006049,0
1,A7,1,1,0,16821.8667142182,11821.8667142182,0
1,A7,1,1,1,19644.7824520376,14644.7824520376,0
1,A8,-1,-1,-1,15152.1665201027,10152.1665201027,0
1,A8,-1,-1,0,11425.9708025949,6425.97080259495,0
1,A8,-1,-1,1,15215.6980553172,10215.6980553172,0
1,A8,-1,0,-1,11407.9703658988,6407.97036589884,0
1,A8,-1,0,0,5577.31533966453,577.315339664528,0
1,A8,-1,0,1,11492.2193212142,6492.21932121418,0
1,A8,-1,1,-1,15188.6610827133,10188.6610827133,0
1,A8,-1,1,0,11474.322812888,6474.32281288801,0
1,A8,-1,1,1,15252.0406025946,10252.0406025946,0
1,A8,0,-1,-1,14766.4277583157,9766.42775831565,0
1,A8,0,-1,0,10909.2642863937,5909.26428639375,0
1,A8,0,-1,1,14831.611706056,9831.611706056,0
1,A8,0,0,-1,10890.4098342468,5890.40983424682,0
1,A8,0,0,0,4423.31152946422,-576.688470535782,0
1,A8,0,0,1,10978.6312177576,5978.63121775762,0
1,A8,0,1,-1,14803.8732760776,9803.87327607761,0
1,A8,0,1,0,10959.8960990967,5959.89609909674,0
1,A8,0,1,1,14868.8930667964,9868.89306679644,0
1,A8,1,-1,-1,20162.0095037719,15162.0095037719,0
1,A8,1,-1,0,17534.8591599425,12534.8591599425,0
1,A8,1,-1,1,20209.7982248179,15209.7982248179,0
1,A8,1,0,-1,17523.1351317763,12523.1351317763,0
1,A8,1,0,0,14423.0691385476,9423.06913854763,0
1,A8,1,0,1,17578.0994963664,12578.0994963664,0
1,A8,1,1,-1,20189.4502763894,15189.4502763894,0
1,A8,1,1,0,17566.4043273411,12566.4043273411,0
1,A8,1,1,1,20237.1741980065,15237.1741980065,0
1,A9,-1,-1,-1,15215.7398289123,10215.7398289123,0
1,A9,-1,-1,0,11553.2346143334,6553.23461433337,0
1,A9,-1,-1,1,15343.914805763,10343.914805763,0
1,A9,-1,0,-1,11614.1088050317,6614.10880503168,0
1,A9,-1,0,0,6070.09183190808,1070.09183190808,0
1,A9,-1,0,1,11781.5324283592,6781.53242835922,0
1,A9,-1,1,-1,15435.5533794251,10435.5533794251,0
1,A9,-1,1,0,11841.2330287755,6841.23302877549,0
1,A9,-1,1,1,15561.9179780144,10561.9179780144,0
1,A9,0,-1,-1,14497.567236874,9497.56723687399,0
1,A9,0,-1,0,10589.5206360045,5589.52063600448,0
1,A9,0,-1,1,14632.0346778241,9632.03467782412,0
1,A9,0,0,-1,10655.9016784901,5655.90167849011,0
1,A9,0,0,0,3937.85882102586,-1062.14117897414,0
1,A9,0,0,1,10838.137460238,5838.13746023799,0
1,A9,0,1,-1,14728.1032511188,9728.10325111876,0
1,A9,0,1,0,10903.0049476416,5903.00494764162,0
1,A9,0,1,1,14860.4847969701,9860.48479697013,0
1,A9,1,-1,-1,19719.0307326252,14719.0307326252,0
1,A9,1,-1,0,17052.8198415071,12052.8198415071,0
1,A9,1,-1,1,19818.101726946,14818.101726946,0
1,A9,1,0,-1,17094.1205631697,12094.1205631697,0
1,A9,1,0,0,13934.3980616626,8934.39806166256,0
1,A9,1,0,1,17208.3102265605,12208.3102265605,0
1,A9,1,1,-1,19889.1362965351,14889.1362965351,0
1,A9,1,1,0,17249.2386537734,12249.2386537734,0
1,A9,1,1,1,19987.36414957,14987.36414957,0
1,A10,-1,-1,-1,15677.3249189207,10677.3249189207,0
1,A10,-1,-1,0,12252.3735013439,7252.37350134392,0
1,A10,-1,-1,1,15951.8900516352,10951.8900516352,0
1,A10,-1,0,-1,12226.1550218812,7226.15502188123,0
1,A10,-1,0,0,7336.28014882851,2336.28014882851,0
1,A10,-1,0,1,12576.2930239844,7576.29302398441,0
1,A10,-1,1,-1,15911.6063496032,10911.6063496032,0
1,A10,-1,1,0,12550.7512296179,7550.75122961792,0
1,A10,-1,1,1,16182.1968913612,11182.1968913612,0
1,A10,0,-1,-1,14112.5428577188,9112.5428577188,0
1,A10,0,-1,0,10173.790135145,5173.79013514499,0
1,A10,0,-1,1,14416.9395336527,9416.93953365267,0
1,A10,0,0,-1,10142.199757282,5142.19975728197,0
1,A10,0,0,0,2684.46563018304,-2315.53436981696,0
1,A10,0,0,1,10561.652120888,5561.65212088798,0
1,A10,0,1,-1,14372.3542233787,9372.35422337868,0
1,A10,0,1,0,10531.225271795,5531.22527179505,0
1,A10,0,1,1,14671.3614067788,9671.36140677879,0
1,A10,1,-1,-1,18776.2939689516,13776.2939689516,0
1,A10,1,-1,0,16027.8306395941,11027.8306395941,0
1,A10,1,-1,1,19006.1436071218,14006.1436071218,0
1,A10,1,0,-1,16007.797013148,11007.797013148,0
1,A10,1,0,0,12672.4782508069,7672.47825080686,0
1,A10,1,0,1,16276.788529074,11276.788529074,0
1,A10,1,1,-1,18972.3460652553,13972.3460652553,0
1,A10,1,1,0,16257.0616970852,11257.0616970852,0
1,A10,1,1,1,19199.8488229949,14199.8488229949,0
1,A11,-1,-1,-1,16626.1263768386,11626.1263768386,0
1,A11,-1,-1,0,13331.52303574,8331.52303574,0
1,A11,-1,-1,1,16704.2190660421,11704.2190660421,0
1,A11,-1,0,-1,13403.5004593137,8403.50045931371,0
1,A11,-1,0,0,8997.51369638746,3997.51369638746,0
1,A11,-1,0,1,13500.2474373819,8500.24743738192,0
1,A11,-1,1,-1,16819.0240747505,11819.0240747505,0
1,A11,-1,1,0,13571.3300372843,8571.33003728425,0
1,A11,-1,1,1,16896.2252333103,11896.2252333103,0
1,A11,0,-1,-1,14018.2532992003,9018.25329920027,0
1,A11,0,-1,0,9890.03810480002,4890.03810480002,0
1,A11,0,-1,1,14110.7860117094,9110.78601170939,0
1,A11,0,0,-1,9986.84994504037,4986.84994504037,0
1,A11,0,0,0,1019.11725459342,-3980.88274540658,0
1,A11,0,0,1,10116.3248332815,5116.32483328146,0
1,A11,0,1,-1,14246.5054693762,9246.50546937622,0
1,A11,0,1,0,10210.9914426966,5210.99144269662,0
1,A11,0,1,1,14337.5651488208,9337.5651488208,0
1,A11,1,-1,-1,17793.1102627525,12793.1102627525,0
1,A11,1,-1,0,14761.3075632319,9761.30756323187,0
1,A11,1,-1,1,17866.1027963623,12866.1027963623,0
1,A11,1,0,-1,14826.3454393415,9826.34543934151,0
1,A11,1,0,0,11005.5416604791,6005.54166047905,0
1,A11,1,0,1,14913.8652063909,9913.8652063909,0
1,A11,1,1,-1,17973.4878460163,12973.4878460163,0
1,A11,1,1,0,14978.240667874,9978.24066787397,0
1,A11,1,1,1,18045.7507923226,13045.7507923226,0
1,A12,-1,-1,-1,16401.9264284778,11401.9264284778,0
1,A12,-1,-1,0,13067.4777654142,8067.47776541423,0
1,A12,-1,-1,1,16507.4152953753,11507.4152953753,0
1,A12,-1,0,-1,13165.3158527732,8165.31585277322,0
1,A12,-1,0,0,8663.79397767961,3663.79397767961,0
1,A12,-1,0,1,13296.5074614379,8296.50746143787,0
1,A12,-1,1,-1,16662.169499839,11662.169499839,0
1,A12,-1,1,0,13392.672512451,8392.67251245097,0
1,A12,-1,1,1,16766.0210428758,11766.0210428758,0
1,A12,0,-1,-1,13993.1922306643,8993.19223066434,0
1,A12,0,-1,0,9876.49803263891,4876.49803263891,0
1,A12,0,-1,1,14116.6921753333,9116.69217533328,0
1,A12,0,0,-1,10005.5874261538,5005.5874261538,0
1,A12,0,0,0,1359.25138469766,-3640.74861530234,0
1,A12,0,0,1,10177.5905258169,5177.59052581691,0
1,A12,0,1,-1,14297.3469804887,9297.34698048869,0
1,A12,0,1,0,10302.9080974686,5302.90809746863,0
1,A12,0,1,1,14418.2419125662,9418.24191256619,0
1,A12,1,-1,-1,17960.9483893098,12960.9483893098,0
1,A12,1,-1,0,14977.6984756619,9977.69847566192,0
1,A12,1,-1,1,18057.3319239649,13057.3319239649,0
1,A12,1,0,-1,15063.1344009649,10063.1344009649,0
1,A12,1,0,0,11341.6842914061,6341.68429140609,0
1,A12,1,0,1,15177.9309245471,10177.9309245471,0
1,A12,1,1,-1,18198.9112014871,13198.9112014871,0
1,A12,1,1,0,15262.2460176741,10262.2460176741,0
1,A12,1,1,1,18294.0410540811,13294.0410540811,0
2,A1,-1,-1,-1,16611.074795185,11611.074795185,0
2,A1,-1,-1,0,13091.6941173069,8091.69411730692,0
2,A1,-1,-1,1,16335.7615026367,11335.7615026367,0
2,A1,-1,0,-1,13305.8704928552,8305.87049285516,0
2,A1,-1,0,0,8515.32962265886,3515.32962265886,0
2,A1,-1,0,1,12960.5357756703,7960.53577567028,0
2,A1,-1,1,-1,16678.2664954736,11678.2664954736,0
2,A1,-1,1,0,13176.8441708906,8176.84417089062,0
2,A1,-1,1,1,16404.0809347501,11404.0809347501,0
2,A1,0,-1,-1,14341.7323552196,9341.73235521958,0
2,A1,0,-1,0,10057.3324474559,5057.33244745593,0
2,A1,0,-1,1,14021.9322836957,9021.9322836957,0
2,A1,0,0,-1,10334.5861392779,5334.5861392779,0
2,A1,0,0,0,1506.09418033954,-3493.90581966046,0
2,A1,0,0,1,9885.99861875119,4885.99861875119,0
2,A1,0,1,-1,14419.502570878,9419.50257087801,0
2,A1,0,1,0,10167.9252259965,5167.92522599647,0
2,A1,0,1,1,14101.4663213211,9101.4663213211,0
2,A1,1,-1,-1,18315.0967250046,13315.0967250046,0
2,A1,1,-1,0,15195.6380930901,10195.6380930901,0
2,A1,1,-1,1,18065.7705638611,13065.7705638611,0
2,A1,1,0,-1,15380.5445861867,10380.5445861867,0
2,A1,1,0,0,11490.2480729344,6490.24807293445,0
2,A1,1,0,1,15082.7865392132,10082.7865392132,0
2,A1,1,1,-1,18376.0587583159,13376.0587583159,0
2,A1,1,1,0,15269.0597123391,10269.0597123391,0
2,A1,1,1,1,18127.571086852,13127.571086852,0
2,A2,-1,-1,-1,15396.7596124785,10396.7596124785,0
2,A2,-1,-1,0,11227.3987450637,6227.39874506374,0
2,A2,-1,-1,1,14664.5408587132,9664.54085871315,0
2,A2,-1,0,-1,12059.61947872,7059.61947871998,0
2,A2,-1,0,0,5867.59729256628,867.597292566277,0
2,A2,-1,0,1,11109.5892815144,6109.58928151441,0
2,A2,-1,1,-1,15931.3727399303,10931.3727399303,0
2,A2,-1,1,0,11950.0172968412,6950.01729684118,0
2,A2,-1,1,1,15224.8871723574,10224.8871723574,0
2,A2,0,-1,-1,14850.1172015883,9850.11720158833,0
2,A2,0,-1,0,10465.1926364075,5465.19263640752,0
2,A2,0,-1,1,14089.5185486704,9089.51854867039,0
2,A2,0,0,-1,11353.4222289133,6353.42222891327,0
2,A2,0,0,0,4230.18584984047,-769.814150159529,0
2,A2,0,0,1,10338.7014823139,5338.70148231388,0
2,A2,0,1,-1,15403.7142181701,10403.7142181701,0
2,A2,0,1,0,11236.9340894776,6236.93408947756,0
2,A2,0,1,1,14671.8425478013,9671.84254780127,0
2,A2,1,-1,-1,20099.5461450593,15099.5461450593,0
2,A2,1,-1,0,17116.8347323206,12116.8347323206,0
2,A2,1,-1,1,19544.316495334,14544.316495334,0
2,A2,1,0,-1,17673.8782004528,12673.8782004528,0
2,A2,1,0,0,14190.1461113214,9190.1461113214,0
2,A2,1,0,1,17039.792330802,12039.792330802,0
2,A2,1,1,-1,20511.952273041,15511.952273041,0
2,A2,1,1,0,17599.2744756062,12599.2744756062,0
2,A2,1,1,1,19968.1931602219,14968.1931602219,0
2,A3,-1,-1,-1,16097.9487902374,11097.9487902374,0
2,A3,-1,-1,0,12693.8673616581,7693.86736165813,0
2,A3,-1,-1,1,16221.1153111502,11221.1153111502,0
2,A3,-1,0,-1,12847.1493203847,7847.14932038474,0
2,A3,-1,0,0,8187.76886596859,3187.76886596859,0
2,A3,-1,0,1,13001.1488855711,8001.14888557112,0
2,A3,-1,1,-1,16460.6967066226,11460.6967066226,0
2,A3,-1,1,0,13150.8497599843,8150.84975998432,0
2,A3,-1,1,1,16581.1689199508,11581.1689199508,0
2,A3,0,-1,-1,13982.3886905625,8982.3886905625,0
2,A3,0,-1,0,9874.08258200388,4874.08258200388,0
2,A3,0,-1,1,14124.015724237,9124.01572423703,0
2,A3,0,0,-1,10070.376552102,5070.37655210196,0
2,A3,0,0,0,1844.66724462366,-3155.33275537634,0
2,A3,0,0,1,10266.1146781852,5266.11467818521,0
2,A3,0,1,-1,14398.5337555002,9398.53375550024,0
2,A3,0,1,0,10455.0508200842,5455.05082008416,0
2,A3,0,1,1,14536.1068031576,9536.10680315761,0
2,A3,1,-1,-1,18217.3113201381,13217.3113201381,0
2,A3,1,-1,0,15292.5061738453,10292.5061738453,0
2,A3,1,-1,1,18326.239614808,13326.239614808,0
2,A3,1,0,-1,15419.9780201526,10419.9780201526,0
2,A3,1,0,0,11822.2686268013,6822.2686268013,0
2,A3,1,0,1,15548.5159686226,10548.5159686226,0
2,A3,1,1,-1,18538.6356711907,13538.6356711907,0
2,A3,1,1,0,15673.9058913662,10673.9058913662,0
2,A3,1,1,1,18645.6868801787,13645.6868801787,0
2,A4,-1,-1,-1,15533.4271382693,10533.4271382693,0
2,A4,-1,-1,0,12052.9539819438,7052.95398194385,0
2,A4,-1,-1,1,15787.9713934942,10787.9713934942,0
2,A4,-1,0,-1,12003.810345833,7003.81034583297,0
2,A4,-1,0,0,6933.81596594991,1933.81596594991,0
2,A4,-1,0,1,12331.4291499646,7331.42914996462,0
2,A4,-1,1,-1,15712.9108371916,10712.9108371916,0
2,A4,-1,1,0,12283.3996926123,7283.39969261229,0
2,A4,-1,1,1,15964.5936070857,10964.5936070857,0
2,A4,0,-1,-1,14237.1595122735,9237.15951227351,0
2,A4,0,-1,0,10328.7488113932,5328.74881139315,0
2,A4,0,-1,1,14514.454624263,9514.45462426304,0
2,A4,0,0,-1,10271.3589722454,5271.3589722454,0
2,A4,0,0,0,3080.12275204436,-1919.87724795564,0
2,A4,0,0,1,10652.3939656115,5652.39396561152,0
2,A4,0,1,-1,14432.7724050347,9432.77240503473,0
2,A4,0,1,0,10596.7570665023,5596.75706650234,0
2,A4,0,1,1,14706.3796142151,9706.37961421514,0
2,A4,1,-1,-1,19081.5634395067,14081.5634395067,0
2,A4,1,-1,0,16373.5275468317,11373.5275468317,0
2,A4,1,-1,1,19289.3427922724,14289.3427922724,0
2,A4,1,0,-1,16337.3855758725,11337.3855758725,0
2,A4,1,0,0,13072.7391347667,8072.7391347667,0
2,A4,1,0,1,16579.591355537,11579.591355537,0
2,A4,1,1,-1,19227.9554714882,14227.9554714882,0
2,A4,1,1,0,16543.8995597914,11543.8995597914,0
2,A4,1,1,1,19434.1697449467,14434.1697449467,0
2,A5,-1,-1,-1,16190.3492484253,11190.3492484253,0
2,A5,-1,-1,0,12613.6276617545,7613.62766175452,0
2,A5,-1,-1,1,16002.4934554828,11002.4934554828,0
2,A5,-1,0,-1,12353.7559896817,7353.75598968174,0
2,A5,-1,0,0,7042.12191430891,2042.12191430891,0
2,A5,-1,0,1,12106.5137450623,7106.51374506228,0
2,A5,-1,1,-1,15591.7659461399,10591.7659461399,0
2,A5,-1,1,0,11835.5126345503,6835.51263455034,0
2,A5,-1,1,1,15396.6085007703,10396.6085007703,0
2,A5,0,-1,-1,14887.548051791,9887.54805179104,0
2,A5,0,-1,0,10891.0642729615,5891.06427296155,0
2,A5,0,-1,1,14683.0335762461,9683.03357624615,0
2,A5,0,0,-1,10589.0020899515,5589.00208995154,0
2,A5,0,0,0,3017.14422333278,-1982.85577666722,0
2,A5,0,0,1,10299.4831553716,5299.48315537157,0
2,A5,0,1,-1,14234.2840890439,9234.28408904393,0
2,A5,0,1,0,9979.53092740342,4979.53092740342,0
2,A5,0,1,1,14020.2436332039,9020.24363320387,0
2,A5,1,-1,-1,19523.0828816247,14523.0828816247,0
2,A5,1,-1,0,16677.1388195392,11677.1388195392,0
2,A5,1,-1,1,19367.5799523217,14367.5799523217,0
2,A5,1,0,-1,16481.4636324994,11481.4636324994,0
2,A5,1,0,0,12985.177606517,7985.17760651702,0
2,A5,1,0,1,16296.9638729483,11296.9638729483,0
2,A5,1,1,-1,19029.6222173749,14029.6222173749,0
2,A5,1,1,0,16096.6678458432,11096.6678458432,0
2,A5,1,1,1,18870.0532522511,13870.0532522511,0
2,A6,-1,-1,-1,15951.6627079121,10951.6627079121,0
2,A6,-1,-1,0,12440.8327799469,7440.83277994689,0
2,A6,-1,-1,1,15971.6341483959,10971.6341483959,0
2,A6,-1,0,-1,12382.1140539921,7382.11405399211,0
2,A6,-1,0,0,7323.62789590483,2323.62789590483,0
2,A6,-1,0,1,12407.8323114588,7407.83231145883,0
2,A6,-1,1,-1,15880.1118933446,10880.1118933446,0
