Group,DirectionFamily,PieceCount,TotalAxisLength,LengthError,IsNear5000
3,194,1,5000,-9.09494701772928e-13,1
3,195,1,5000,-2.72848410531878e-12,1
3,196,1,5000.00000000001,5.45696821063757e-12,1
3,197,2,4999.99999999999,-6.3664629124105e-12,1
3,198,1,5000.00000000001,6.3664629124105e-12,1
3,199,3,5000,0,1
3,200,1,5000,2.72848410531878e-12,1
3,201,1,4999.99999999999,-6.3664629124105e-12,1
3,202,2,5000.00000000001,7.27595761418343e-12,1
3,203,2,4999.99999999999,-5.45696821063757e-12,1
3,204,1,5000.00000000001,5.45696821063757e-12,1
3,205,1,5000,-1.81898940354586e-12,1
3,206,1,5000.00000000001,7.27595761418343e-12,1
3,207,1,5000,4.54747350886464e-12,1
3,208,1,5000,0,1
3,209,1,5000,-9.09494701772928e-13,1
3,210,1,5000,4.54747350886464e-12,1
3,211,1,4941.14986216036,-58.8501378396386,0
3,212,1,5000.00000000001,8.18545231595635e-12,1
3,213,2,5000,-1.81898940354586e-12,1
3,214,1,5000,3.63797880709171e-12,1
3,215,2,5000,-1.81898940354586e-12,1
3,216,1,5000,4.54747350886464e-12,1
3,217,1,5000,9.09494701772928e-13,1
3,218,1,5000,-9.09494701772928e-13,1
3,219,1,5000,0,1
3,220,1,5000,-9.09494701772928e-13,1
3,221,1,5000,4.54747350886464e-12,1
3,222,1,5000,3.63797880709171e-12,1
3,223,1,5000,-3.63797880709171e-12,1
3,224,1,4999.99999999999,-7.27595761418343e-12,1
3,225,1,4957.33929067089,-42.6607093291077,0
3,226,1,4844.16844643241,-155.831553567589,0
3,227,1,4267.81119649178,-732.188803508216,0
3,228,1,5000,1.81898940354586e-12,1
3,229,2,5000,3.63797880709171e-12,1
3,230,1,5000,4.54747350886464e-12,1
3,231,1,5000.00000000001,6.3664629124105e-12,1
3,232,1,5000,3.63797880709171e-12,1
3,233,2,5000,-9.09494701772928e-13,1
3,234,1,5000,-2.72848410531878e-12,1
3,235,2,5000,-4.54747350886464e-12,1
3,236,1,5000,-1.81898940354586e-12,1
3,237,2,5000.00000000001,7.27595761418343e-12,1
3,238,1,5000,0,1
3,239,1,4999.99999999999,-5.45696821063757e-12,1
3,240,1,5000,-1.81898940354586e-12,1
3,241,1,5000,1.81898940354586e-12,1
3,242,1,5000,2.72848410531878e-12,1
3,243,1,5000,1.81898940354586e-12,1
3,244,1,4999.99999999999,-9.09494701772928e-12,1
3,245,1,5000,1.81898940354586e-12,1
3,246,2,5000,4.54747350886464e-12,1
3,247,1,5000,0,1
3,248,1,5000,0,1
3,249,1,4847.92956512635,-152.070434873646,0
3,250,1,5000,3.63797880709171e-12,1
3,251,1,5000,2.72848410531878e-12,1
3,252,1,5000,1.81898940354586e-12,1
3,253,2,5000,0,1
3,254,2,5000,0,1
3,255,1,5000,9.09494701772928e-13,1
3,256,1,5000,-3.63797880709171e-12,1
3,257,1,5000,2.72848410531878e-12,1
3,258,1,5000,-2.72848410531878e-12,1
3,259,2,5000,3.63797880709171e-12,1
3,260,1,5000,-9.09494701772928e-13,1
3,261,1,5000,0,1
3,262,1,4793.50417987968,-206.495820120317,0
3,263,1,5000,0,1
3,264,2,4999.99999999999,-8.18545231595635e-12,1
3,265,1,5000,3.63797880709171e-12,1
3,266,1,5000,-9.09494701772928e-13,1
3,267,1,5000,1.81898940354586e-12,1
3,268,2,5000,9.09494701772928e-13,1
3,269,1,5000,-4.54747350886464e-12,1
3,270,1,5000,3.63797880709171e-12,1
3,271,1,5000.00000000001,6.3664629124105e-12,1
3,272,1,4998.981194219,-1.01880578100099,0
3,273,1,5000,2.72848410531878e-12,1
3,274,1,5000,-1.81898940354586e-12,1
3,275,1,5000,-1.81898940354586e-12,1
3,276,1,5000.00000000001,5.45696821063757e-12,1
3,277,1,4581.83853070264,-418.161469297359,0
3,278,1,5000,0,1
3,279,2,4999.99999999999,-8.18545231595635e-12,1
3,280,1,5000,4.54747350886464e-12,1
3,281,2,5000,4.54747350886464e-12,1
3,282,1,5000,-4.54747350886464e-12,1
3,283,1,5000,0,1
3,284,1,5000,4.54747350886464e-12,1
3,285,1,5000,3.63797880709171e-12,1
3,286,1,5000,4.54747350886464e-12,1
3,287,1,4999.99999999999,-5.45696821063757e-12,1
3,288,2,4999.99999999999,-6.3664629124105e-12,1
3,289,1,5000,0,1
3,290,1,5000,-1.81898940354586e-12,1
3,291,2,5000,9.09494701772928e-13,1
3,292,1,5000,1.81898940354586e-12,1
3,293,1,5000,0,1
3,294,2,5000.00000000001,5.45696821063757e-12,1
3,295,1,4937.90565426453,-62.0943457354688,0
3,296,2,5000,-2.72848410531878e-12,1
3,297,1,5000,-2.72848410531878e-12,1
3,298,1,5000,-1.81898940354586e-12,1
3,299,1,5000,0,1
3,300,2,5000,-2.72848410531878e-12,1
3,301,1,4508.64473911168,-491.355260888316,0
3,302,1,5000,3.63797880709171e-12,1
3,303,2,4999.99999999999,-5.45696821063757e-12,1
3,304,1,4503.32754166859,-496.672458331413,0
3,305,1,5000,1.81898940354586e-12,1
3,306,1,5000,-2.72848410531878e-12,1
3,307,1,5000,4.54747350886464e-12,1
3,308,2,4914.49250043472,-85.5074995652803,0
3,309,1,5000,0,1
3,310,1,4541.62487768027,-458.375122319732,0
3,311,1,5000,-9.09494701772928e-13,1
3,312,1,5000.00000000001,7.27595761418343e-12,1
3,313,1,4977.96547913873,-22.0345208612698,0
3,314,2,5000,-1.81898940354586e-12,1
3,315,1,5000,9.09494701772928e-13,1
3,316,1,5000,0,1
3,317,1,5000,0,1
3,318,1,4904.30107336559,-95.6989266344144,0
3,319,1,4911.87016671171,-88.1298332882861,0
3,320,1,5000,1.81898940354586e-12,1
3,321,1,4695.54112112537,-304.458878874627,0
3,322,1,5000,0,1
3,323,2,5000.00000000001,6.3664629124105e-12,1
3,324,2,4999.99999999999,-6.3664629124105e-12,1
3,325,3,5000,3.63797880709171e-12,1
3,326,1,5000,0,1
3,327,1,4999.99999999999,-7.27595761418343e-12,1
3,328,2,5000,0,1
3,329,1,5000,2.72848410531878e-12,1
3,330,1,4555.10390298357,-444.896097016428,0
3,331,1,4639.94149979009,-360.058500209911,0
3,332,1,4517.04299910179,-482.957000898211,0
3,333,2,5000,-1.81898940354586e-12,1
3,334,1,4634.87361748108,-365.126382518919,0
3,335,2,5000,2.72848410531878e-12,1
3,336,2,5000,-1.81898940354586e-12,1
3,337,1,5000,-9.09494701772928e-13,1
3,338,2,4999.99999999999,-1.00044417195022e-11,1
3,339,1,4694.60360116403,-305.396398835969,0
3,340,1,5000,-9.09494701772928e-13,1
3,341,2,4999.99999999999,-6.3664629124105e-12,1
3,342,1,5000,0,1
3,343,1,4129.57261625149,-870.427383748505,0
3,344,2,5000,-3.63797880709171e-12,1
3,345,1,5000,-4.54747350886464e-12,1
3,346,1,5000,-2.72848410531878e-12,1
3,347,2,5000,-1.81898940354586e-12,1
3,348,1,5000,1.81898940354586e-12,1
3,349,2,5000.00000000001,7.27595761418343e-12,1
3,350,1,4632.08996543516,-367.910034564844,0
3,351,1,4630.17824695822,-369.821753041782,0
3,352,1,5000,-9.09494701772928e-13,1
3,353,1,5000,1.81898940354586e-12,1
3,354,2,5000,3.63797880709171e-12,1
