Scope,Group,EdgeType,NodeA,NodeB,AxisDistance,ExactDistance
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A9-2,A48-1,2.8421709430404e-14,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A10-1,A39-2,1.61504347547354e-12,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A10-2,A24-1,49.0730002220779,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A10-2,A39-1,2.8421709430404e-14,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A11-1,A12-1,26.6157494968832,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A11-1,A44-2,1.89388631803321e-12,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A11-1,A49-2,23.4305104271858,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A11-2,A44-1,2.8421709430404e-14,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A11-2,A48-1,51.2703861960969,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A12-1,A24-1,1.4411345697131,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A12-1,A44-2,26.615749496883,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A12-1,A49-2,55.8323230913091,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A14-1,A34-1,34.9110144444014,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A16-1,A43-2,12.5170834564984,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A24-1,A39-1,49.073000222078,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A26-1,A33-1,9.35898192112835,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A33-1,A34-1,33.2951496643673,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A33-1,A38-1,19.5693999700996,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A34-1,A43-1,58.3628222923124,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A42-2,A43-2,27.9212035368755,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A44-1,A48-1,51.2703861960965,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A44-2,A49-2,23.4305104271873,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A45-1,A46-1,38.8426042996634,0
UNIQUE_ONLY_LOWER_BOUND,2,PIECE_PIECE,A45-2,A46-2,29.5699198660844,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A1-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A2-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A3-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A4-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A5-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A6-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A7-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A8-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A9-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A10-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A11-1,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A34-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A38-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A39-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A42-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A43-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A44-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A45-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A46-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A47-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A48-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,LEFT,A49-2,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A1-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A2-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A3-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A4-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A5-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A6-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A7-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A8-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A9-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A10-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A11-2,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A34-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A38-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A39-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A42-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A43-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A44-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A45-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A46-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A47-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A48-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,2,ELECTRODE,A49-1,RIGHT,NaN,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A1-1,A215-2,2.48388127474784,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A1-1,A297-2,2.48388127475375,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A2-1,A99-2,28.3609817785021,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A2-1,A104-2,3.50174297594799,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A2-1,A107-1,39.5970938475745,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A2-1,A135-1,3.50174297594821,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A2-1,A505-2,1.374811877925e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A2-1,A524-2,28.3609817785032,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A2-2,A505-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A4-1,A420-3,1.59161572810262e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A4-2,A420-2,3.01645267459699e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A4-3,A420-1,3.85865922646125e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A5-1,A535-2,7.87645516342708e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A5-2,A535-1,1.13686837721616e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A6-1,A106-1,50.5851739741899,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A6-1,A485-2,2.73340609549427e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A6-2,A485-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A7-1,A452-2,7.31338687986965e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A7-2,A452-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A8-1,A450-2,1.34054089112248e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A8-2,A450-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A9-1,A503-3,1.39941062602057e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A9-2,A178-4,54.1869683237233,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A9-2,A503-2,1.18321730326513e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A9-3,A503-1,1.04096426569045e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A10-1,A94-1,41.4321392304714,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A10-1,A97-1,35.5663310110501,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A10-1,A525-2,4.44823633445009e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A10-2,A525-1,2.27373675443232e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A12-1,A440-3,2.23150785066269e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A12-2,A440-2,8.09654639613875e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A12-3,A440-1,1.12590154486861e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A13-1,A94-1,42.601465565007,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A13-1,A106-1,17.3953381344019,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A13-1,A281-1,34.8579009813604,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A13-1,A310-2,34.8579009813618,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A14-1,A106-1,6.47117067564551,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A14-1,A490-2,6.85900119105934e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A14-2,A490-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A15-1,A393-2,5.79245315878188e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A15-2,A382-1,48.49825233488,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A15-2,A393-1,4.54747350886464e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A16-1,A127-2,60.6514112062545,0.651411206271091
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A16-1,A143-1,60.6514112062511,0.651411206267776
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A16-1,A456-2,7.95807864051312e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A16-2,A456-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A17-1,A398-2,1.04690702148412e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A17-2,A338-1,14.4864597072032,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A17-2,A398-1,6.43109871076874e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A18-1,A462-2,3.04013496136507e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A18-2,A462-1,1.04195707875893e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A19-1,A474-3,3.34448050274603e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A19-2,A474-2,2.2755550168216e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A19-3,A474-1,1.62074533247476e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A20-1,A443-2,5.26408116583763e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A20-2,A443-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A21-1,A36-1,32.6067186648203,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A21-1,A477-2,1.08313191862648e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A21-1,A530-2,32.6067186648403,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A21-2,A477-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A22-1,A480-2,3.77741519647228e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A22-2,A480-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A23-1,A119-1,17.7595591183697,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A23-1,A520-2,1.08664636585204e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A23-2,A520-1,5.08422994585042e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A24-1,A533-2,2.7781025195376e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A24-2,A533-1,4.54747350886464e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A25-1,A521-2,2.50716371124818e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A25-2,A521-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A26-1,A534-2,3.53931429069539e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A26-2,A534-1,4.54747350886464e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A27-1,A464-2,9.74528984067403e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A27-2,A99-3,27.484068166523,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A27-2,A464-1,4.54747350886464e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A27-2,A524-1,27.4840681665232,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A28-1,A512-2,2.91909635538682e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A28-2,A512-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A29-1,A156-1,57.7531825989775,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A29-1,A290-2,57.7531825989825,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A29-1,A504-2,1.18850332052755e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A29-2,A504-1,2.27373675443232e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A30-1,A381-2,4.12418493106476e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A30-2,A381-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A31-1,A32-1,21.6690882153172,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A31-1,A509-2,21.6690882153119,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A31-1,A529-2,8.21067719028533e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A31-2,A35-2,58.5244437736695,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A31-2,A482-1,58.5244437736702,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A31-2,A529-1,2.27373675443232e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A32-1,A207-1,11.2080670232473,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A32-1,A509-2,2.71442651518071e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A32-1,A529-2,21.6690882153147,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A32-2,A460-1,41.2593338469228,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A32-2,A509-1,2.27373675443232e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A33-1,A138-1,23.0869297094121,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A33-1,A187-2,23.0869297094384,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A33-1,A491-2,6.40290083553224e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A33-2,A491-1,2.27373675443232e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A34-1,A506-2,1.05508490593761e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A34-2,A506-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A35-1,A482-2,6.48600985711001e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A35-2,A482-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A35-2,A529-1,58.5244437736672,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A36-1,A477-2,32.60671866482,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A36-1,A530-2,3.3948229896956e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A36-2,A530-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A38-1,A428-2,7.85344856884446e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A38-2,A367-1,35.6227525607112,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A38-2,A406-2,25.2989207647809,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A38-2,A428-1,1.01684598917008e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A38-2,A448-1,25.2989207647745,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A40-1,A454-2,6.1559086910533e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A40-2,A454-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A41-1,A516-2,3.83581479555348e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A41-2,A516-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A42-1,A403-2,7.4584111038606e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A42-2,A403-1,0,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A43-1,A419-2,8.07596759498486e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A43-2,A419-1,1.13686837721616e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A44-1,A426-3,4.11679803031635e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A44-2,A426-2,3.25456248837109e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A44-3,A426-1,2.2691847243322e-11,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A45-1,A466-2,3.53893083599209e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A45-2,A466-1,2.27373675443232e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A46-1,A114-1,26.1902684564598,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A46-1,A402-2,4.57580695126537e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A46-2,A402-1,4.54747350886464e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A47-1,A416-2,2.54211497292521e-12,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A47-2,A416-1,1.13686837721616e-13,0
UNIQUE_ONLY_LOWER_BOUND,3,PIECE_PIECE,A50-1,A131-1,41.2301921852901,0
