Group,MediumID,PieceIndex,SourceExcelRow,ObservedP1,ObservedP2,OriginalStart,OriginalEnd,PieceStart,PieceEnd,PieceLength,Translation,BoundarySequence,ReconstructionType
1,A9,1,11,"1066.9641376733;105.066056981001;-242.602515764394","5000;273.505296679324;-144.677940130256","1066.9641376733;105.066056981001;-242.602515764394","6060.84030373414;318.937665072886;-118.26517904821","1066.9641376733;105.066056981001;-242.602515764394","5000;273.505296679324;-144.677940130256",3937.85882102586,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A9,2,11,"1066.9641376733;105.066056981001;-242.602515764394","5000;273.505296679324;-144.677940130256","1066.9641376733;105.066056981001;-242.602515764394","6060.84030373414;318.937665072886;-118.26517904821","-5000;273.505296679324;-144.677940130256","-3939.15969626586;318.937665072886;-118.26517904821",1062.14117897414,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A10,1,12,"2330.73253512306;75.6211298477722;-262.64252357348","5000;260.638630130799;-45.5355334223004","2330.73253512306;75.6211298477722;-262.64252357348","7302.42491751898;420.228820486022;141.734026660795","2330.73253512306;75.6211298477722;-262.64252357348","5000;260.638630130799;-45.5355334223004",2684.46563018304,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A10,2,12,"2330.73253512306;75.6211298477722;-262.64252357348","5000;260.638630130799;-45.5355334223004","2330.73253512306;75.6211298477722;-262.64252357348","7302.42491751898;420.228820486022;141.734026660795","-5000;260.638630130799;-45.5355334223004","-2697.57508248102;420.228820486022;141.734026660795",2315.53436981696,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A12,1,14,"3660.68808804375;-338.712686789317;-500","5000;-123.595139885209;-413.21077078022","3660.68808804375;-338.712686789317;-500","8587.34082878807;452.596225329087;-180.746217378014","3660.68808804375;-338.712686789317;-500","5000;-123.595139885209;-413.21077078022",1359.25138469766,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
1,A12,2,14,"3660.68808804375;-338.712686789317;-500","5000;-123.595139885209;-413.21077078022","3660.68808804375;-338.712686789317;-500","8587.34082878807;452.596225329087;-180.746217378014","-5000;-123.595139885209;-413.21077078022","-1412.65917121193;452.596225329087;-180.746217378014",3640.74861530234,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A1,1,3,"-5000;-460.898289390296;-273.23245049489","-3512.12594512394;-404.979103320158;-500","-3512.12594512394;-404.979103320158;-500","-8451.63794343944;-590.62216203489;252.833230701372","-3512.12594512394;-404.979103320158;-500","-5000;-460.898289390296;-273.23245049489",1506.09418033954,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A1,2,3,"-5000;-460.898289390296;-273.23245049489","-3512.12594512394;-404.979103320158;-500","-3512.12594512394;-404.979103320158;-500","-8451.63794343944;-590.62216203489;252.833230701372","5000;-460.898289390296;-273.23245049489","1548.36205656056;-590.62216203489;252.833230701372",3493.90581966046,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A2,1,4,"-5000;-192.583780408597;50.2861991895686","-826.711283177028;226.126989945019;-500","-826.711283177028;226.126989945019;-500","-5759.45994359387;-268.781254298442;150.427922936673","-826.711283177028;226.126989945019;-500","-5000;-192.583780408597;50.2861991895687",4230.18584984047,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A2,2,4,"-5000;-192.583780408597;50.2861991895686","-826.711283177028;226.126989945019;-500","-826.711283177028;226.126989945019;-500","-5759.45994359387;-268.781254298442;150.427922936673","5000;-192.583780408597;50.2861991895687","4240.54005640613;-268.781254298442;150.427922936673",769.814150159529,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A3,1,5,"-5000;-143.414420351492;218.690227529327","-3181.83808795686;151.850100006258;318.205894642448","-3181.83808795686;151.850100006258;318.205894642448","-8109.99496107919;-648.469093654031;48.4670910637463","-3181.83808795686;151.850100006258;318.205894642448","-5000;-143.414420351492;218.690227529327",1844.66724462366,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A3,2,5,"-5000;-143.414420351492;218.690227529327","-3181.83808795686;151.850100006258;318.205894642448","-3181.83808795686;151.850100006258;318.205894642448","-8109.99496107919;-648.469093654031;48.4670910637463","5000;-143.414420351492;218.690227529327","1890.00503892081;-648.469093654031;48.4670910637462",3155.33275537635,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A4,1,6,"-5000;-31.8043625940113;-200.10393428969","-1929.53238410003;108.400845346282;-0.786882742922217","-1929.53238410003;108.400845346282;-0.786882742922217","-6913.85908644009;-119.195940929907;-324.340629772121","-1929.53238410003;108.400845346282;-0.786882742922217","-5000;-31.8043625940113;-200.10393428969",3080.12275204436,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A4,2,6,"-5000;-31.8043625940113;-200.10393428969","-1929.53238410003;108.400845346282;-0.786882742922217","-1929.53238410003;108.400845346282;-0.786882742922217","-6913.85908644009;-119.195940929907;-324.340629772121","5000;-31.8043625940113;-200.10393428969","3086.14091355991;-119.195940929907;-324.340629772121",1919.87724795564,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A5,1,7,"-5000;-24.3939133305471;-161.974770248318","-2024.41608957997;-500;-313.165070078707","-2024.41608957997;-500;-313.165070078707","-6955.54249614789;288.172608706274;-62.6130768044481","-2024.41608957997;-500;-313.165070078707","-5000;-24.393913330547;-161.974770248318",3017.14422333278,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A5,2,7,"-5000;-24.3939133305471;-161.974770248318","-2024.41608957997;-500;-313.165070078707","-2024.41608957997;-500;-313.165070078707","-6955.54249614789;288.172608706274;-62.6130768044481","5000;-24.393913330547;-161.974770248318","3044.45750385211;288.172608706274;-62.6130768044481",1982.85577666722,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A6,1,8,"-5000;-14.0725596141766;281.931898702774","-2323.38920016757;-71.012294660458;297.870754283097","-2323.38920016757;-71.012294660458;297.870754283097","-7322.16963646283;35.3271229399665;268.103692349086","-2323.38920016757;-71.012294660458;297.870754283097","-5000;-14.0725596141766;281.931898702774",2677.26381858866,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A6,2,8,"-5000;-14.0725596141766;281.931898702774","-2323.38920016757;-71.012294660458;297.870754283097","-2323.38920016757;-71.012294660458;297.870754283097","-7322.16963646283;35.3271229399665;268.103692349086","5000;-14.0725596141766;281.931898702774","2677.83036353717;35.3271229399665;268.103692349086",2322.73618141134,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A7,1,9,"-5000;-10.9123393011085;138.872240038616","-3449.63264509039;-144.842051888255;171.715758761894","-3449.63264509039;-144.842051888255;171.715758761894","-8429.97102577644;285.388425939954;66.2105465060162","-3449.63264509039;-144.842051888255;171.715758761894","-5000;-10.9123393011085;138.872240038616",1556.48796969499,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A7,2,9,"-5000;-10.9123393011085;138.872240038616","-3449.63264509039;-144.842051888255;171.715758761894","-3449.63264509039;-144.842051888255;171.715758761894","-8429.97102577644;285.388425939954;66.2105465060162","5000;-10.9123393011085;138.872240038616","1570.02897422356;285.388425939954;66.2105465060162",3443.51203030501,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A8,1,10,"-5000;85.6463529482064;-446.561220389142","-4173.94384524883;33.2672984059111;-500","-4173.94384524883;33.2672984059111;-500","-9153.5551509294;349.017421057368;-177.861668869039","-4173.94384524883;33.2672984059111;-500","-5000;85.6463529482064;-446.561220389142",829.438387900712,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A8,2,10,"-5000;85.6463529482064;-446.561220389142","-4173.94384524883;33.2672984059111;-500","-4173.94384524883;33.2672984059111;-500","-9153.5551509294;349.017421057368;-177.861668869039","5000;85.6463529482064;-446.561220389142","846.444849070602;349.017421057368;-177.861668869039",4170.56161209929,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A9,1,11,"-5000;270.675162840378;-248.900081210053","-3079.42375967721;104.273670959877;-500","-3079.42375967721;104.273670959877;-500","-8019.03517775782;532.248719292468;145.814521648708","-3079.42375967721;104.273670959877;-500","-5000;270.675162840378;-248.900081210053",1944.05599729246,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A9,2,11,"-5000;270.675162840378;-248.900081210053","-3079.42375967721;104.273670959877;-500","-3079.42375967721;104.273670959877;-500","-8019.03517775782;532.248719292468;145.814521648708","5000;270.675162840378;-248.900081210053","1980.96482224218;532.248719292468;145.814521648708",3055.94400270754,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A10,1,12,"-5000;300.316348054142;115.435676374726","-3128.15310165583;291.66119757681;218.054960707695","-3128.15310165583;291.66119757681;218.054960707695","-8120.60302705075;314.745567026609;-55.6435126372188","-3128.15310165583;291.66119757681;218.054960707695","-5000;300.316348054142;115.435676374726",1874.6776896276,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A10,2,12,"-5000;300.316348054142;115.435676374726","-3128.15310165583;291.66119757681;218.054960707695","-3128.15310165583;291.66119757681;218.054960707695","-8120.60302705075;314.745567026609;-55.6435126372188","5000;300.316348054142;115.435676374726","1879.39697294925;314.745567026609;-55.6435126372189",3125.3223103724,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A11,1,13,"-5000;307.50626190705;-131.057049605648","-1958.79173514694;114.169942843126;-325.954298674494","-1958.79173514694;114.169942843126;-325.954298674494","-6938.54445731346;430.74380997312;-6.82452456142585","-1958.79173514694;114.169942843126;-325.954298674494","-5000;307.50626190705;-131.057049605648",3053.57357536614,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A11,2,13,"-5000;307.50626190705;-131.057049605648","-1958.79173514694;114.169942843126;-325.954298674494","-1958.79173514694;114.169942843126;-325.954298674494","-6938.54445731346;430.74380997312;-6.82452456142585","5000;307.50626190705;-131.057049605648","3061.45554268654;430.74380997312;-6.82452456142585",1946.42642463386,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A12,1,14,"-4850.28126750738;82.5010658474648;-222.18011252894","147.723911234192;170.890609581654;-332.323300384175","-4850.28126750738;82.5010658474648;-222.18011252894","147.723911234192;170.890609581654;-332.323300384175","-4850.28126750738;82.5010658474648;-222.18011252894","147.723911234192;170.890609581654;-332.323300384175",5000,"-0;-0;-0","NONE","DIRECT_FULL"
2,A14,1,16,"-4320.97782889831;-411.653921511031;368.315645023836","669.713064161411;-154.034754426643;205.10787964038","-4320.97782889831;-411.653921511031;368.315645023836","669.713064161411;-154.034754426643;205.10787964038","-4320.97782889831;-411.653921511031;368.315645023836","669.713064161411;-154.034754426643;205.10787964038",5000,"-0;-0;-0","NONE","DIRECT_FULL"
2,A16,1,18,"-3571.27624542796;181.81815690851;361.831173792362","1420.41208784988;34.5184054987683;114.141112117339","-3571.27624542796;181.81815690851;361.831173792362","1420.41208784988;34.5184054987683;114.141112117339","-3571.27624542796;181.81815690851;361.831173792362","1420.41208784988;34.5184054987683;114.141112117339",5000,"-0;-0;-0","NONE","DIRECT_FULL"
2,A18,1,20,"-3511.51171165783;-474.333842855282;-463.533330394968","1481.8651122767;-242.86501776371;-351.238730327768","-3511.51171165783;-474.333842855282;-463.533330394968","1481.8651122767;-242.86501776371;-351.238730327768","-3511.51171165783;-474.333842855282;-463.533330394968","1481.8651122767;-242.86501776371;-351.238730327768",5000,"-0;-0;-0","NONE","DIRECT_FULL"
2,A21,1,23,"-2678.97911623744;295.087071499692;-78.7997608836554","2315.72959335963;490.579233198023;-199.910127862549","-2678.97911623744;295.087071499692;-78.7997608836554","2315.72959335963;490.579233198023;-199.910127862549","-2678.97911623744;295.087071499692;-78.7997608836554","2315.72959335963;490.579233198023;-199.910127862549",5000.00000000001,"-0;-0;-0","NONE","DIRECT_FULL"
2,A24,1,26,"-1977.25732408147;66.8052381259813;-477.030271691909","2995.23503720289;342.918909852125;-31.9674028131336","-1977.25732408147;66.8052381259813;-477.030271691909","2995.23503720289;342.918909852125;-31.9674028131336","-1977.25732408147;66.8052381259813;-477.030271691909","2995.23503720289;342.918909852125;-31.9674028131336",5000,"-0;-0;-0","NONE","DIRECT_FULL"
2,A25,1,27,"-1838.56689459812;294.257902005536;-367.771364687737","3100.77004810686;216.528673349028;404.82732379311","-1838.56689459812;294.257902005536;-367.771364687737","3100.77004810686;216.528673349028;404.82732379311","-1838.56689459812;294.257902005536;-367.771364687737","3100.77004810686;216.528673349028;404.82732379311",5000,"-0;-0;-0","NONE","DIRECT_FULL"
2,A26,1,28,"-1779.52317608205;-232.026520024825;339.790039270438","3220.45837798502;-243.703331153308;346.726253723034","-1779.52317608205;-232.026520024825;339.790039270438","3220.45837798502;-243.703331153308;346.726253723034","-1779.52317608205;-232.026520024825;339.790039270438","3220.45837798502;-243.703331153308;346.726253723034",5000,"-0;-0;-0","NONE","DIRECT_FULL"
2,A29,1,31,"-1028.3713146442;-236.936150294581;-334.043480856211","3965.06458500721;-14.6318438933278;-206.847917144566","-1028.3713146442;-236.936150294581;-334.043480856211","3965.06458500721;-14.6318438933278;-206.847917144566","-1028.3713146442;-236.936150294581;-334.043480856211","3965.06458500721;-14.6318438933278;-206.847917144566",4999.99999999999,"-0;-0;-0","NONE","DIRECT_FULL"
2,A31,1,33,"-568.823774163553;-394.401820150427;-168.577848702974","4417.58197113286;-166.578870825741;120.998474631548","-568.823774163553;-394.401820150427;-168.577848702974","4417.58197113286;-166.578870825741;120.998474631548","-568.823774163553;-394.401820150427;-168.577848702974","4417.58197113286;-166.578870825741;120.998474631548",5000,"-0;-0;-0","NONE","DIRECT_FULL"
2,A33,1,35,"-134.813541478156;-364.233142148315;427.977499036112","4824.09874614606;143.9163178571;39.4249930014681","-134.813541478156;-364.233142148315;427.977499036112","4824.09874614606;143.9163178571;39.4249930014681","-134.813541478156;-364.233142148315;427.977499036112","4824.09874614606;143.9163178571;39.4249930014681",5000,"-0;-0;-0","NONE","DIRECT_FULL"
2,A34,1,36,"74.4923033113464;-195.552670819329;257.81445243288","5000;-202.252076122608;260.705860635612","74.4923033113464;-195.552670819329;257.81445243288","5074.48681683039;-202.353389003721;260.749586441446","74.4923033113464;-195.552670819329;257.81445243288","5000;-202.252076122608;260.705860635612",4925.51310143542,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A34,2,36,"74.4923033113464;-195.552670819329;257.81445243288","5000;-202.252076122608;260.705860635612","74.4923033113464;-195.552670819329;257.81445243288","5074.48681683039;-202.353389003721;260.749586441446","-5000;-202.252076122608;260.705860635612","-4925.51318316961;-202.353389003721;260.749586441446",74.4868985645793,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A38,1,40,"1570.02897422356;285.388425939953;66.2105465060182","5000;-10.9123393011085;138.872240038616","1570.02897422356;285.388425939953;66.2105465060182","6550.36735490961;-144.842051888255;171.715758761893","1570.02897422356;285.388425939953;66.2105465060182","5000;-10.9123393011085;138.872240038616",3443.51203030501,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A38,2,40,"1570.02897422356;285.388425939953;66.2105465060182","5000;-10.9123393011085;138.872240038616","1570.02897422356;285.388425939953;66.2105465060182","6550.36735490961;-144.842051888255;171.715758761893","-5000;-10.9123393011085;138.872240038616","-3449.63264509039;-144.842051888255;171.715758761893",1556.48796969499,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A39,1,41,"1879.39697294925;314.745567026607;-55.6435126372199","5000;300.316348054142;115.435676374726","1879.39697294925;314.745567026607;-55.6435126372199","6871.84689834417;291.661197576811;218.054960707696","1879.39697294925;314.745567026607;-55.6435126372199","5000;300.316348054142;115.435676374726",3125.32231037239,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A39,2,41,"1879.39697294925;314.745567026607;-55.6435126372199","5000;300.316348054142;115.435676374726","1879.39697294925;314.745567026607;-55.6435126372199","6871.84689834417;291.661197576811;218.054960707696","-5000;300.316348054142;115.435676374726","-3128.15310165583;291.661197576811;218.054960707696",1874.67768962761,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A42,1,44,"2677.83036353717;35.3271229399666;268.103692349086","5000;-14.0725596141766;281.931898702774","2677.83036353717;35.3271229399666;268.103692349086","7676.61079983243;-71.0122946604581;297.870754283097","2677.83036353717;35.3271229399666;268.103692349086","5000;-14.0725596141766;281.931898702774",2322.73618141134,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A42,2,44,"2677.83036353717;35.3271229399666;268.103692349086","5000;-14.0725596141766;281.931898702774","2677.83036353717;35.3271229399666;268.103692349086","7676.61079983243;-71.0122946604581;297.870754283097","-5000;-14.0725596141766;281.931898702774","-2323.38920016757;-71.0122946604581;297.870754283097",2677.26381858866,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A43,1,45,"2804.23899723811;-500;98.5069701618498","5000;-143.414420351492;218.690227529327","2804.23899723811;-500;98.5069701618498","7732.39587036044;300.31919366029;368.245773740552","2804.23899723811;-500;98.5069701618498","5000;-143.414420351492;218.690227529327",2227.77100982453,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A43,2,45,"2804.23899723811;-500;98.5069701618498","5000;-143.414420351492;218.690227529327","2804.23899723811;-500;98.5069701618498","7732.39587036044;300.31919366029;368.245773740552","-5000;-143.414420351492;218.690227529327","-2267.60412963956;300.31919366029;368.245773740552",2772.22899017547,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A44,1,46,"3061.45554268653;430.743809973119;-6.82452456142613","5000;307.50626190705;-131.057049605648","3061.45554268653;430.743809973119;-6.82452456142613","8041.20826485305;114.169942843128;-325.954298674493","3061.45554268653;430.743809973119;-6.82452456142613","5000;307.50626190705;-131.057049605648",1946.42642463387,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A44,2,46,"3061.45554268653;430.743809973119;-6.82452456142613","5000;307.50626190705;-131.057049605648","3061.45554268653;430.743809973119;-6.82452456142613","8041.20826485305;114.169942843128;-325.954298674493","-5000;307.50626190705;-131.057049605648","-1958.79173514695;114.169942843128;-325.954298674493",3053.57357536613,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A45,1,47,"3086.14091355992;-119.195940929906;-324.34062977212","5000;-31.8043625940113;-200.10393428969","3086.14091355992;-119.195940929906;-324.34062977212","8070.46761589998;108.400845346282;-0.786882742921591","3086.14091355992;-119.195940929906;-324.34062977212","5000;-31.8043625940113;-200.10393428969",1919.87724795563,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A45,2,47,"3086.14091355992;-119.195940929906;-324.34062977212","5000;-31.8043625940113;-200.10393428969","3086.14091355992;-119.195940929906;-324.34062977212","8070.46761589998;108.400845346282;-0.786882742921591","-5000;-31.8043625940113;-200.10393428969","-1929.53238410002;108.400845346282;-0.786882742921591",3080.12275204437,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A46,1,48,"3092.13444207282;280.552107085691;-65.0355561569352","5000;-24.3939133305471;-161.974770248318","3092.13444207282;280.552107085691;-65.0355561569352","8023.26084864074;-507.620501620581;-315.587549431193","3092.13444207282;280.552107085691;-65.0355561569352","5000;-24.3939133305472;-161.974770248318",1934.51292932385,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A46,2,48,"3092.13444207282;280.552107085691;-65.0355561569352","5000;-24.3939133305471;-161.974770248318","3092.13444207282;280.552107085691;-65.0355561569352","8023.26084864074;-507.620501620581;-315.587549431193","-5000;-24.3939133305472;-161.974770248318","-1976.73915135926;-507.620501620581;-315.587549431193",3065.48707067615,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A47,1,49,"3959.59822010861;-500;-114.664350356616","5000;-460.898289390296;-273.23245049489","3959.59822010861;-500;-114.664350356616","8899.11021842411;-314.356941285264;-867.497581057993","3959.59822010861;-500;-114.664350356616","5000;-460.898289390296;-273.23245049489",1053.14227422283,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A47,2,49,"3959.59822010861;-500;-114.664350356616","5000;-460.898289390296;-273.23245049489","3959.59822010861;-500;-114.664350356616","8899.11021842411;-314.356941285264;-867.497581057993","-5000;-460.898289390296;-273.23245049489","-1100.88978157589;-314.356941285264;-867.497581057993",3946.85772577717,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A48,1,50,"3977.58135981847;359.25898652865;-115.227055308326","5000;270.675162840378;-248.900081210053","3977.58135981847;359.25898652865;-115.227055308326","8917.19277789908;-68.7160618039371;-761.041576957033","3977.58135981847;359.25898652865;-115.227055308326","5000;270.675162840378;-248.900081210053",1034.91808732073,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A48,2,50,"3977.58135981847;359.25898652865;-115.227055308326","5000;270.675162840378;-248.900081210053","3977.58135981847;359.25898652865;-115.227055308326","8917.19277789908;-68.7160618039371;-761.041576957033","-5000;270.675162840378;-248.900081210053","-1082.80722210092;-68.7160618039371;-761.041576957033",3965.08191267926,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A49,1,51,"4430.2932292045;-249.743104160598;125.407235577456","5000;-192.583780408597;50.2861991895686","4430.2932292045;-249.743104160598;125.407235577456","9363.04188962134;245.165140082868;-525.020687359217","4430.2932292045;-249.743104160598;125.407235577456","5000;-192.583780408597;50.2861991895686",577.473950139756,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
2,A49,2,51,"4430.2932292045;-249.743104160598;125.407235577456","5000;-192.583780408597;50.2861991895686","4430.2932292045;-249.743104160598;125.407235577456","9363.04188962134;245.165140082868;-525.020687359217","-5000;-192.583780408597;50.2861991895686","-636.958110378659;245.165140082868;-525.020687359217",4422.52604986024,"-10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A1,1,3,"-5000;-4872.85737033347;2556.81333101074","-337.119122805609;-4694.65516508342;3967.32057366848","-337.119122805609;-4694.65516508342;3967.32057366848","-5119.7502408185;-4877.43388806041;2520.58924842467","-337.119122805609;-4694.65516508342;3967.32057366848","-5000;-4872.85737033347;2556.81333101074",4874.80715336013,"-0;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
3,A1,2,3,"-5000;-4872.85737033347;2556.81333101074","-337.119122805609;-4694.65516508342;3967.32057366848","-337.119122805609;-4694.65516508342;3967.32057366848","-5119.7502408185;-4877.43388806041;2520.58924842467","5000;-4872.85737033347;2556.81333101074","4880.2497591815;-4877.43388806041;2520.58924842467",125.192846639874,"10000;-0;-0","X","RETAINED_SINGLE_BOUNDARY_UNIQUE"
