Group,MediumID,ExcelRow,RawLength,BoundaryEndpointCount,P1BoundaryAxes,P2BoundaryAxes,HasAbs500Coordinate,Classification,Status,InteriorPointXYZ,BoundaryPointXYZ,ObservedDirectionXYZ,MissingLength,OriginalStartXYZ,OriginalEndXYZ,ForwardPieceCount,BoundaryEventSequence,ObservedPieceMatched,MatchedPieceIndex,MatchedPieceTranslationXYZ,ReplayError,PhysicalCandidateCount,IsUniquelyReconstructed,Reason
2,A21,23,5000.00000000001,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.998941741919412;0.0390984323396661;-0.0242220733957787",0,"-2678.97911623744;295.087071499692;-78.7997608836554","2315.72959335963;490.579233198023;-199.910127862549",1,"NONE",1,1,"-0;-0;-0",0,1,1,"Observed segment is already a complete 5000 nm Medium."
2,A22,24,843.937832660219,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",4156.06216733978,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A23,25,3472.01251981556,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",1527.98748018444,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A24,26,5000,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.994498472256872;0.0552227343452287;0.0890125737757551",0,"-1977.25732408147;66.8052381259813;-477.030271691909","2995.23503720289;342.918909852125;-31.9674028131336",1,"NONE",1,1,"-0;-0;-0",4.55094163333639e-13,1,1,"Observed segment is already a complete 5000 nm Medium."
2,A25,27,5000,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.987867388540995;-0.0155458457313016;0.154519737696169",0,"-1838.56689459812;294.257902005536;-367.771364687737","3100.77004810686;216.528673349028;404.82732379311",1,"NONE",1,1,"-0;-0;-0",4.58286294150329e-13,1,1,"Observed segment is already a complete 5000 nm Medium."
2,A26,28,5000,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.999996310813414;-0.0023353622256966;0.0013872428905192",0,"-1779.52317608205;-232.026520024825;339.790039270438","3220.45837798502;-243.703331153308;346.726253723034",1,"NONE",1,1,"-0;-0;-0",0,1,1,"Observed segment is already a complete 5000 nm Medium."
2,A27,29,4156.06216733979,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",843.937832660213,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A28,30,759.724984160844,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",4240.27501583916,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A29,31,4999.99999999999,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.998687179930283;0.0444608612802507;0.025439112742329",0,"-1028.3713146442;-236.936150294581;-334.043480856211","3965.06458500721;-14.6318438933278;-206.847917144566",1,"NONE",1,1,"-0;-0;-0",1.24344978758018e-14,1,1,"Observed segment is already a complete 5000 nm Medium."
2,A30,32,1272.97437943224,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",3727.02562056776,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A31,33,5000,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.997281149059282;0.0455645898649372;0.0579152646669044",0,"-568.823774163553;-394.401820150427;-168.577848702974","4417.58197113286;-166.578870825741;120.998474631548",1,"NONE",1,1,"-0;-0;-0",1.4210854715202e-14,1,1,"Observed segment is already a complete 5000 nm Medium."
2,A32,34,1064.85148373562,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",3935.14851626438,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A33,35,5000,0,"NONE","NONE",0,"DIRECT_FULL","DIRECT_FULL","NaN;NaN;NaN","NaN;NaN;NaN","0.991782457524843;0.101629892001083;-0.0777105012069287",0,"-134.813541478156;-364.233142148315;427.977499036112","4824.09874614606;143.9163178571;39.4249930014681",1,"NONE",1,1,"-0;-0;-0",2.1316282072803e-14,1,1,"Observed segment is already a complete 5000 nm Medium."
2,A34,36,4925.51310143542,1,"NONE","X+5000",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","74.4923033113464;-195.552670819329;257.81445243288","5000;-202.252076122608;260.705860635612","0.999998902703809;-0.00136014363687849;0.000587026801713182",74.486898564579,"74.4923033113464;-195.552670819329;257.81445243288","5074.48681683039;-202.353389003721;260.749586441446",2,"X",1,1,"-0;-0;-0",0,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A35,37,1253.4744220195,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",3746.5255779805,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A36,38,3935.14851626438,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",1064.85148373562,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A37,39,1527.98748018443,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",3472.01251981557,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A38,40,3443.51203030501,1,"NONE","X+5000",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","1570.02897422356;285.388425939953;66.2105465060182","5000;-10.9123393011085;138.872240038616","0.99606767613721;-0.0860460955656416;0.021101042451175",1556.48796969499,"1570.02897422356;285.388425939953;66.2105465060182","6550.36735490961;-144.842051888255;171.715758761893",2,"X",1,1,"-0;-0;-0",1.06581410364015e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A39,41,3125.32231037239,1,"NONE","X+5000",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","1879.39697294925;314.745567026607;-55.6435126372199","5000;300.316348054142;115.435676374726","0.998489985078984;-0.00461687388995911;0.0547396946689832",1874.67768962761,"1879.39697294925;314.745567026607;-55.6435126372199","6871.84689834417;291.661197576811;218.054960707696",2,"X",1,1,"-0;-0;-0",1.4210854715202e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A40,42,927.56174555182,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",4072.43825444818,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A41,43,1338.58205286218,0,"NONE","NONE",1,"UNRESOLVED_NO_FORMAL_BOUNDARY","UNRESOLVED_NO_FORMAL_BOUNDARY","NaN;NaN;NaN","NaN;NaN;NaN","NaN;NaN;NaN",3661.41794713782,"NaN;NaN;NaN","NaN;NaN;NaN",0,"NONE",0,0,"NaN;NaN;NaN",Inf,0,0,"Short record has no endpoint on a formal +/-5000 face."
2,A42,44,2322.73618141134,1,"NONE","X+5000",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","2677.83036353717;35.3271229399666;268.103692349086","5000;-14.0725596141766;281.931898702774","0.999756087259052;-0.0212678835200849;0.00595341238680225",2677.26381858866,"2677.83036353717;35.3271229399666;268.103692349086","7676.61079983243;-71.0122946604581;297.870754283097",2,"X",1,1,"-0;-0;-0",1.77635683940025e-15,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A43,45,2227.77100982453,1,"NONE","X+5000",1,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","2804.23899723811;-500;98.5069701618498","5000;-143.414420351492;218.690227529327","0.985631374624466;0.160063838732058;0.0539477607157404",2772.22899017547,"2804.23899723811;-500;98.5069701618498","7732.39587036044;300.31919366029;368.245773740552",2,"X",1,1,"-0;-0;-0",8.5265128291212e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A44,46,1946.42642463387,1,"NONE","X+5000",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","3061.45554268653;430.743809973119;-6.82452456142613","5000;307.50626190705;-131.057049605648","0.995950544433305;-0.0633147734259982;-0.0638259548226133",3053.57357536613,"3061.45554268653;430.743809973119;-6.82452456142613","8041.20826485305;114.169942843128;-325.954298674493",2,"X",1,1,"-0;-0;-0",2.8421709430404e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A45,47,1919.87724795563,1,"NONE","X+5000",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","3086.14091355992;-119.195940929906;-324.34062977212","5000;-31.8043625940113;-200.10393428969","0.996865340468012;0.0455193572552376;0.0647107494058397",3080.12275204437,"3086.14091355992;-119.195940929906;-324.34062977212","8070.46761589998;108.400845346282;-0.786882742921591",2,"X",1,1,"-0;-0;-0",2.92964275105423e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
2,A46,48,1934.51292932385,1,"NONE","X+5000",0,"RETAINED_SINGLE_BOUNDARY_UNIQUE","RETAINED_SINGLE_BOUNDARY_UNIQUE","3092.13444207282;280.552107085691;-65.0355561569352","5000;-24.3939133305471;-161.974770248318","0.986225281313584;-0.157634521741254;-0.0501103986548515",3065.48707067615,"3092.13444207282;280.552107085691;-65.0355561569352","8023.26084864074;-507.620501620581;-315.587549431193",2,"X",1,1,"-0;-0;-0",4.9737991503207e-14,1,1,"Unique retained part replayed as a zero-translation GeometryPiece."
