Group,MediumID,ExplicitPhysicalCandidateCount,RelativePhysicalCandidateCount,SameGeometrySet,Pass
3,A17,0,0,1,1
3,A18,0,0,1,1
3,A19,0,0,1,1
3,A20,0,0,1,1
3,A21,0,0,1,1
3,A22,0,0,1,1
3,A23,0,0,1,1
3,A24,0,0,1,1
3,A25,0,0,1,1
3,A26,0,0,1,1
3,A27,0,0,1,1
3,A28,0,0,1,1
3,A29,0,0,1,1
3,A30,0,0,1,1
3,A31,0,0,1,1
3,A32,0,0,1,1
3,A33,0,0,1,1
3,A34,0,0,1,1
3,A35,0,0,1,1
3,A36,0,0,1,1
3,A37,0,0,1,1
3,A38,0,0,1,1
3,A39,0,0,1,1
3,A40,0,0,1,1
3,A41,0,0,1,1
3,A42,0,0,1,1
3,A43,0,0,1,1
3,A44,0,0,1,1
3,A45,0,0,1,1
3,A46,0,0,1,1
3,A47,0,0,1,1
3,A48,0,0,1,1
3,A49,0,0,1,1
3,A50,0,0,1,1
3,A51,0,0,1,1
3,A52,0,0,1,1
3,A53,0,0,1,1
3,A54,0,0,1,1
3,A55,0,0,1,1
3,A56,0,0,1,1
3,A57,0,0,1,1
3,A58,0,0,1,1
3,A59,0,0,1,1
3,A60,0,0,1,1
3,A61,0,0,1,1
3,A62,0,0,1,1
3,A63,0,0,1,1
3,A64,0,0,1,1
3,A65,0,0,1,1
3,A66,0,0,1,1
3,A67,0,0,1,1
3,A68,0,0,1,1
3,A69,0,0,1,1
3,A70,0,0,1,1
3,A71,0,0,1,1
3,A72,0,0,1,1
3,A73,0,0,1,1
3,A74,0,0,1,1
3,A75,0,0,1,1
3,A76,0,0,1,1
3,A77,0,0,1,1
3,A78,0,0,1,1
3,A79,0,0,1,1
3,A80,0,0,1,1
3,A81,0,0,1,1
3,A82,0,0,1,1
3,A83,0,0,1,1
3,A84,0,0,1,1
3,A85,0,0,1,1
3,A86,0,0,1,1
3,A87,0,0,1,1
3,A88,0,0,1,1
3,A89,0,0,1,1
3,A90,0,0,1,1
3,A91,0,0,1,1
3,A92,0,0,1,1
3,A93,1,1,1,1
3,A94,1,1,1,1
3,A95,1,1,1,1
3,A96,0,0,1,1
3,A97,1,1,1,1
3,A98,1,1,1,1
3,A99,0,0,1,1
3,A100,1,1,1,1
3,A101,1,1,1,1
3,A102,0,0,1,1
3,A103,1,1,1,1
3,A104,0,0,1,1
3,A105,0,0,1,1
3,A106,1,1,1,1
3,A107,1,1,1,1
3,A108,1,1,1,1
3,A109,0,0,1,1
3,A110,0,0,1,1
3,A111,1,1,1,1
3,A112,0,0,1,1
3,A113,1,1,1,1
3,A114,1,1,1,1
3,A115,1,1,1,1
3,A116,1,1,1,1
3,A117,1,1,1,1
3,A118,0,0,1,1
3,A119,1,1,1,1
3,A120,1,1,1,1
3,A121,0,0,1,1
3,A122,1,1,1,1
3,A123,0,0,1,1
3,A124,0,0,1,1
3,A125,1,1,1,1
3,A126,1,1,1,1
3,A127,0,0,1,1
3,A128,1,1,1,1
3,A129,0,0,1,1
3,A130,0,0,1,1
3,A131,1,1,1,1
3,A132,0,0,1,1
3,A133,0,0,1,1
3,A134,0,0,1,1
3,A135,0,0,1,1
3,A136,1,1,1,1
3,A137,1,1,1,1
3,A138,0,0,1,1
3,A139,0,0,1,1
3,A140,0,0,1,1
3,A141,1,1,1,1
3,A142,0,0,1,1
3,A143,0,0,1,1
3,A144,1,1,1,1
3,A145,0,0,1,1
3,A146,0,0,1,1
3,A147,0,0,1,1
3,A148,0,0,1,1
3,A149,1,1,1,1
3,A150,0,0,1,1
3,A151,1,1,1,1
3,A152,0,0,1,1
3,A153,0,0,1,1
3,A154,1,1,1,1
3,A155,1,1,1,1
3,A156,0,0,1,1
3,A157,1,1,1,1
3,A158,0,0,1,1
3,A159,0,0,1,1
3,A160,1,1,1,1
3,A161,0,0,1,1
3,A162,0,0,1,1
3,A163,0,0,1,1
3,A164,1,1,1,1
3,A165,0,0,1,1
3,A166,0,0,1,1
3,A167,0,0,1,1
3,A168,0,0,1,1
3,A169,0,0,1,1
3,A170,1,1,1,1
3,A171,1,1,1,1
3,A172,1,1,1,1
3,A173,0,0,1,1
3,A174,0,0,1,1
3,A175,1,1,1,1
3,A176,1,1,1,1
3,A177,0,0,1,1
3,A178,0,0,1,1
3,A179,0,0,1,1
3,A180,1,1,1,1
3,A181,1,1,1,1
3,A182,0,0,1,1
3,A183,1,1,1,1
3,A184,1,1,1,1
3,A185,0,0,1,1
3,A186,1,1,1,1
3,A187,0,0,1,1
3,A188,0,0,1,1
3,A189,0,0,1,1
3,A190,1,1,1,1
3,A191,1,1,1,1
3,A192,0,0,1,1
3,A193,1,1,1,1
3,A194,1,1,1,1
3,A195,0,0,1,1
3,A196,0,0,1,1
3,A197,0,0,1,1
3,A198,0,0,1,1
3,A199,0,0,1,1
3,A200,0,0,1,1
3,A201,0,0,1,1
3,A202,1,1,1,1
3,A203,1,1,1,1
3,A204,0,0,1,1
3,A205,1,1,1,1
3,A206,1,1,1,1
3,A207,0,0,1,1
3,A208,0,0,1,1
3,A209,0,0,1,1
3,A210,0,0,1,1
3,A211,1,1,1,1
3,A212,0,0,1,1
3,A213,0,0,1,1
3,A214,1,1,1,1
3,A215,0,0,1,1
3,A216,1,1,1,1
3,A217,0,0,1,1
3,A218,0,0,1,1
3,A219,0,0,1,1
3,A220,1,1,1,1
3,A221,1,1,1,1
3,A222,1,1,1,1
3,A223,1,1,1,1
3,A224,0,0,1,1
3,A225,1,1,1,1
3,A226,0,0,1,1
3,A227,0,0,1,1
3,A228,1,1,1,1
3,A229,1,1,1,1
3,A230,0,0,1,1
3,A231,0,0,1,1
3,A232,0,0,1,1
3,A233,1,1,1,1
3,A234,0,0,1,1
3,A235,0,0,1,1
3,A236,0,0,1,1
3,A237,0,0,1,1
3,A238,1,1,1,1
3,A239,0,0,1,1
3,A240,1,1,1,1
3,A241,0,0,1,1
3,A242,1,1,1,1
3,A243,0,0,1,1
3,A244,0,0,1,1
3,A245,1,1,1,1
3,A246,0,0,1,1
3,A247,1,1,1,1
3,A248,1,1,1,1
3,A249,0,0,1,1
3,A250,1,1,1,1
3,A251,0,0,1,1
3,A252,0,0,1,1
3,A253,1,1,1,1
3,A254,0,0,1,1
3,A255,1,1,1,1
3,A256,0,0,1,1
3,A257,1,1,1,1
3,A258,0,0,1,1
3,A259,1,1,1,1
3,A260,1,1,1,1
3,A261,1,1,1,1
3,A262,1,1,1,1
3,A263,0,0,1,1
3,A264,1,1,1,1
3,A265,1,1,1,1
3,A266,1,1,1,1
3,A267,0,0,1,1
3,A268,0,0,1,1
3,A269,0,0,1,1
3,A270,1,1,1,1
3,A271,0,0,1,1
3,A272,0,0,1,1
3,A273,0,0,1,1
3,A274,1,1,1,1
3,A275,1,1,1,1
3,A276,1,1,1,1
3,A277,0,0,1,1
3,A278,1,1,1,1
3,A279,0,0,1,1
3,A280,1,1,1,1
3,A281,0,0,1,1
3,A282,1,1,1,1
3,A283,0,0,1,1
3,A284,1,1,1,1
3,A285,1,1,1,1
3,A286,1,1,1,1
3,A287,1,1,1,1
3,A288,1,1,1,1
3,A289,1,1,1,1
3,A290,0,0,1,1
3,A291,1,1,1,1
3,A292,0,0,1,1
3,A293,1,1,1,1
3,A294,1,1,1,1
3,A295,0,0,1,1
3,A296,1,1,1,1
3,A297,0,0,1,1
3,A298,1,1,1,1
3,A299,1,1,1,1
3,A300,0,0,1,1
3,A301,0,0,1,1
3,A302,0,0,1,1
3,A303,1,1,1,1
3,A304,0,0,1,1
3,A305,1,1,1,1
3,A306,1,1,1,1
3,A307,0,0,1,1
3,A308,0,0,1,1
3,A309,1,1,1,1
3,A310,0,0,1,1
3,A311,0,0,1,1
3,A312,1,1,1,1
3,A313,1,1,1,1
3,A314,0,0,1,1
3,A315,0,0,1,1
3,A316,1,1,1,1
3,A317,0,0,1,1
3,A318,1,1,1,1
3,A319,1,1,1,1
3,A320,1,1,1,1
3,A321,0,0,1,1
3,A322,1,1,1,1
3,A323,1,1,1,1
3,A324,1,1,1,1
3,A325,0,0,1,1
3,A326,1,1,1,1
3,A327,1,1,1,1
3,A328,1,1,1,1
3,A329,1,1,1,1
3,A330,0,0,1,1
3,A331,1,1,1,1
3,A332,0,0,1,1
3,A333,1,1,1,1
3,A334,0,0,1,1
3,A335,0,0,1,1
3,A336,1,1,1,1
3,A337,1,1,1,1
3,A338,1,1,1,1
3,A339,1,1,1,1
3,A340,1,1,1,1
3,A341,1,1,1,1
3,A342,0,0,1,1
3,A343,1,1,1,1
3,A344,1,1,1,1
3,A345,0,0,1,1
3,A346,0,0,1,1
3,A347,1,1,1,1
3,A348,1,1,1,1
3,A349,0,0,1,1
3,A350,0,0,1,1
3,A351,0,0,1,1
3,A352,0,0,1,1
3,A353,1,1,1,1
3,A354,0,0,1,1
3,A355,0,0,1,1
3,A356,0,0,1,1
3,A357,1,1,1,1
3,A358,1,1,1,1
3,A359,0,0,1,1
3,A360,0,0,1,1
3,A361,0,0,1,1
3,A362,0,0,1,1
3,A363,0,0,1,1
3,A364,1,1,1,1
3,A365,0,0,1,1
3,A366,0,0,1,1
3,A367,0,0,1,1
3,A368,0,0,1,1
3,A369,0,0,1,1
3,A370,1,1,1,1
3,A371,0,0,1,1
3,A372,1,1,1,1
3,A373,1,1,1,1
3,A374,0,0,1,1
3,A375,0,0,1,1
3,A376,0,0,1,1
3,A377,1,1,1,1
3,A378,0,0,1,1
3,A379,1,1,1,1
3,A380,1,1,1,1
3,A381,0,0,1,1
3,A382,0,0,1,1
3,A383,0,0,1,1
3,A384,1,1,1,1
3,A385,1,1,1,1
3,A386,0,0,1,1
3,A387,1,1,1,1
3,A388,0,0,1,1
3,A389,0,0,1,1
3,A390,0,0,1,1
3,A391,0,0,1,1
3,A392,0,0,1,1
3,A393,0,0,1,1
3,A394,1,1,1,1
3,A395,0,0,1,1
3,A396,0,0,1,1
3,A397,1,1,1,1
3,A398,0,0,1,1
3,A399,0,0,1,1
3,A400,0,0,1,1
3,A401,0,0,1,1
3,A402,0,0,1,1
3,A403,0,0,1,1
3,A404,1,1,1,1
3,A405,1,1,1,1
3,A406,0,0,1,1
3,A407,0,0,1,1
3,A408,0,0,1,1
3,A409,1,1,1,1
3,A410,0,0,1,1
3,A411,0,0,1,1
3,A412,0,0,1,1
3,A413,0,0,1,1
3,A414,0,0,1,1
3,A415,0,0,1,1
3,A416,0,0,1,1
3,A417,0,0,1,1
3,A418,0,0,1,1
3,A419,0,0,1,1
3,A420,0,0,1,1
3,A421,0,0,1,1
3,A422,0,0,1,1
3,A423,0,0,1,1
3,A424,0,0,1,1
3,A425,0,0,1,1
3,A426,0,0,1,1
3,A427,0,0,1,1
3,A428,0,0,1,1
3,A429,0,0,1,1
3,A430,1,1,1,1
3,A431,0,0,1,1
3,A432,0,0,1,1
3,A433,0,0,1,1
3,A434,0,0,1,1
3,A435,0,0,1,1
3,A436,0,0,1,1
3,A437,1,1,1,1
3,A438,0,0,1,1
3,A439,0,0,1,1
3,A440,0,0,1,1
3,A441,0,0,1,1
3,A442,0,0,1,1
3,A443,0,0,1,1
3,A444,0,0,1,1
3,A445,0,0,1,1
3,A446,1,1,1,1
3,A447,0,0,1,1
3,A448,0,0,1,1
3,A449,0,0,1,1
3,A450,0,0,1,1
3,A451,0,0,1,1
3,A452,0,0,1,1
3,A453,1,1,1,1
3,A454,0,0,1,1
3,A455,0,0,1,1
3,A456,0,0,1,1
3,A457,0,0,1,1
3,A458,0,0,1,1
3,A459,0,0,1,1
3,A460,1,1,1,1
3,A461,0,0,1,1
3,A462,0,0,1,1
3,A463,0,0,1,1
3,A464,0,0,1,1
3,A465,0,0,1,1
3,A466,0,0,1,1
3,A467,0,0,1,1
3,A468,1,1,1,1
3,A469,0,0,1,1
3,A470,0,0,1,1
3,A471,0,0,1,1
3,A472,0,0,1,1
3,A473,0,0,1,1
3,A474,0,0,1,1
3,A475,0,0,1,1
3,A476,0,0,1,1
3,A477,0,0,1,1
3,A478,0,0,1,1
3,A479,0,0,1,1
3,A480,0,0,1,1
3,A481,0,0,1,1
3,A482,0,0,1,1
3,A483,0,0,1,1
3,A484,1,1,1,1
3,A485,0,0,1,1
3,A486,0,0,1,1
3,A487,1,1,1,1
3,A488,0,0,1,1
3,A489,0,0,1,1
3,A490,0,0,1,1
3,A491,0,0,1,1
3,A492,0,0,1,1
3,A493,0,0,1,1
3,A494,0,0,1,1
3,A495,0,0,1,1
3,A496,0,0,1,1
3,A497,0,0,1,1
3,A498,0,0,1,1
3,A499,0,0,1,1
3,A500,0,0,1,1
3,A501,0,0,1,1
3,A502,0,0,1,1
3,A503,0,0,1,1
3,A504,0,0,1,1
3,A505,0,0,1,1
3,A506,0,0,1,1
3,A507,0,0,1,1
3,A508,0,0,1,1
3,A509,0,0,1,1
3,A510,0,0,1,1
3,A511,0,0,1,1
3,A512,0,0,1,1
3,A513,0,0,1,1
3,A514,0,0,1,1
3,A515,0,0,1,1
3,A516,0,0,1,1
3,A517,0,0,1,1
3,A518,0,0,1,1
3,A519,0,0,1,1
3,A520,0,0,1,1
3,A521,0,0,1,1
3,A522,0,0,1,1
3,A523,0,0,1,1
3,A524,0,0,1,1
3,A525,0,0,1,1
3,A526,0,0,1,1
3,A527,0,0,1,1
3,A528,0,0,1,1
3,A529,0,0,1,1
3,A530,0,0,1,1
3,A531,0,0,1,1
3,A532,0,0,1,1
3,A533,0,0,1,1
3,A534,0,0,1,1
3,A535,0,0,1,1
