Group,MediumID,ExcelRow,EndpointStatus,PieceCount,TotalPieceLength,BoundaryEventSequence
3,A185,187,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A186,188,UNIQUE,1,5000,NONE
3,A187,189,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A188,190,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A189,191,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A190,192,UNIQUE,1,5000,NONE
3,A191,193,UNIQUE,1,5000,NONE
3,A192,194,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A193,195,UNIQUE,1,5000,NONE
3,A194,196,UNIQUE,1,5000,NONE
3,A195,197,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A196,198,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A197,199,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A198,200,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A199,201,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A200,202,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A201,203,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A202,204,UNIQUE,1,5000,NONE
3,A203,205,UNIQUE,1,5000,NONE
3,A204,206,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A205,207,UNIQUE,1,5000,NONE
3,A206,208,UNIQUE,1,5000.00000000001,NONE
3,A207,209,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A208,210,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A209,211,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A210,212,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A211,213,UNIQUE,1,5000,NONE
3,A212,214,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A213,215,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A214,216,UNIQUE,1,5000,NONE
3,A215,217,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A216,218,UNIQUE,1,5000,NONE
3,A217,219,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A218,220,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A219,221,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A220,222,UNIQUE,1,5000,NONE
3,A221,223,UNIQUE,1,5000,NONE
3,A222,224,UNIQUE,1,5000,NONE
3,A223,225,UNIQUE,1,5000.00000000001,NONE
3,A224,226,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A225,227,UNIQUE,1,5000.00000000001,NONE
3,A226,228,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A227,229,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A228,230,UNIQUE,1,5000,NONE
3,A229,231,UNIQUE,1,4999.99999999999,NONE
3,A230,232,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A231,233,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A232,234,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A233,235,UNIQUE,1,5000.00000000001,NONE
3,A234,236,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A235,237,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A236,238,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A237,239,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A238,240,UNIQUE,1,5000,NONE
3,A239,241,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A240,242,UNIQUE,1,5000.00000000001,NONE
3,A241,243,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A242,244,UNIQUE,1,5000,NONE
3,A243,245,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A244,246,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A245,247,UNIQUE,1,5000,NONE
3,A246,248,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A247,249,UNIQUE,1,5000,NONE
3,A248,250,UNIQUE,1,5000,NONE
3,A249,251,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A250,252,UNIQUE,1,5000.00000000001,NONE
3,A251,253,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A252,254,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A253,255,UNIQUE,1,5000,NONE
3,A254,256,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A255,257,UNIQUE,1,5000,NONE
3,A256,258,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A257,259,UNIQUE,1,5000,NONE
3,A258,260,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A259,261,UNIQUE,1,5000,NONE
3,A260,262,UNIQUE,1,5000,NONE
3,A261,263,UNIQUE,1,5000,NONE
3,A262,264,UNIQUE,1,5000,NONE
3,A263,265,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A264,266,UNIQUE,1,5000,NONE
3,A265,267,UNIQUE,1,5000,NONE
3,A266,268,UNIQUE,1,4999.99999999999,NONE
3,A267,269,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A268,270,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A269,271,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A270,272,UNIQUE,1,5000,NONE
3,A271,273,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A272,274,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A273,275,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A274,276,UNIQUE,1,5000,NONE
3,A275,277,UNIQUE,1,5000.00000000001,NONE
3,A276,278,UNIQUE,1,5000,NONE
3,A277,279,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A278,280,UNIQUE,1,5000,NONE
3,A279,281,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A280,282,UNIQUE,1,5000,NONE
3,A281,283,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A282,284,UNIQUE,1,5000,NONE
3,A283,285,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A284,286,UNIQUE,1,4999.99999999999,NONE
3,A285,287,UNIQUE,1,5000,NONE
3,A286,288,UNIQUE,1,5000,NONE
3,A287,289,UNIQUE,1,5000,NONE
3,A288,290,UNIQUE,1,5000,NONE
3,A289,291,UNIQUE,1,4999.99999999999,NONE
3,A290,292,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A291,293,UNIQUE,1,5000,NONE
3,A292,294,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A293,295,UNIQUE,1,5000,NONE
3,A294,296,UNIQUE,1,5000,NONE
3,A295,297,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A296,298,UNIQUE,1,5000,NONE
3,A297,299,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A298,300,UNIQUE,1,5000,NONE
3,A299,301,UNIQUE,1,5000,NONE
3,A300,302,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A301,303,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A302,304,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A303,305,UNIQUE,1,5000,NONE
3,A304,306,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A305,307,UNIQUE,1,5000,NONE
3,A306,308,UNIQUE,1,5000,NONE
3,A307,309,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A308,310,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A309,311,UNIQUE,1,5000,NONE
3,A310,312,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A311,313,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A312,314,UNIQUE,1,5000,NONE
3,A313,315,UNIQUE,1,5000,NONE
3,A314,316,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A315,317,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A316,318,UNIQUE,1,5000,NONE
3,A317,319,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A318,320,UNIQUE,1,5000,NONE
3,A319,321,UNIQUE,1,5000,NONE
3,A320,322,UNIQUE,1,5000,NONE
3,A321,323,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A322,324,UNIQUE,1,5000,NONE
3,A323,325,UNIQUE,1,5000,NONE
3,A324,326,UNIQUE,1,5000.00000000001,NONE
3,A325,327,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A326,328,UNIQUE,1,5000,NONE
3,A327,329,UNIQUE,1,5000,NONE
3,A328,330,UNIQUE,1,5000,NONE
3,A329,331,UNIQUE,1,5000,NONE
3,A330,332,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A331,333,UNIQUE,1,5000,NONE
3,A332,334,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A333,335,UNIQUE,1,5000,NONE
3,A334,336,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A335,337,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A336,338,UNIQUE,1,5000,NONE
3,A337,339,UNIQUE,1,5000,NONE
3,A338,340,UNIQUE,1,5000,NONE
3,A339,341,UNIQUE,1,5000,NONE
3,A340,342,UNIQUE,1,5000,NONE
3,A341,343,UNIQUE,1,4999.99999999999,NONE
3,A342,344,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A343,345,UNIQUE,1,5000,NONE
3,A344,346,UNIQUE,1,5000,NONE
3,A345,347,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A346,348,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A347,349,UNIQUE,1,5000,NONE
3,A348,350,UNIQUE,1,5000,NONE
3,A349,351,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A350,352,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A351,353,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A352,354,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A353,355,UNIQUE,1,5000,NONE
3,A354,356,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A355,357,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A356,358,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A357,359,UNIQUE,1,5000,NONE
3,A358,360,UNIQUE,1,5000,NONE
3,A359,361,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A360,362,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A361,363,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A362,364,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A363,365,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A364,366,UNIQUE,1,5000,NONE
3,A365,367,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A366,368,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A367,369,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A368,370,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A369,371,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A370,372,UNIQUE,1,5000,NONE
3,A371,373,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A372,374,UNIQUE,1,5000,NONE
3,A373,375,UNIQUE,1,5000,NONE
3,A374,376,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A375,377,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A376,378,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A377,379,UNIQUE,1,5000,NONE
3,A378,380,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A379,381,UNIQUE,1,5000,NONE
3,A380,382,UNIQUE,1,5000.00000000001,NONE
3,A381,383,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A382,384,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A383,385,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A384,386,UNIQUE,1,5000,NONE
3,A385,387,UNIQUE,1,5000,NONE
3,A386,388,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A387,389,UNIQUE,1,5000,NONE
3,A388,390,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A389,391,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A390,392,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A391,393,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A392,394,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A393,395,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A394,396,UNIQUE,1,5000,NONE
3,A395,397,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A396,398,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A397,399,UNIQUE,1,5000,NONE
3,A398,400,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A399,401,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A400,402,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A401,403,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A402,404,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A403,405,UNRESOLVED,0,NaN,NOT_UNIQUE
3,A404,406,UNIQUE,1,5000,NONE
